,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
757,10,ðíbíl ðìcə̀lò,negative,ðàŋàl,166.34591674804688,45.31147003173828,bbbb<blk>bbbbbbʎʷbbbǂʷɒʎʎbʷbb<blk>bbʎ<blk>bbbbbbbbbbʎ<blk>bbbbbbbbʎb<blk>bbb<blk><blk>b<blk>bb
803,4,ðàŋàl ðà t̪ólé ðə́və̀lɛ̀ðɔ́ t̪ɔ́wɜ̀nì,positive,ðàŋàl,241.33323669433597,45.32566833496094,bbb<blk>bbbbb<blk>bbbb<blk>bʎbbbbbbbbbbbbbbbbbbbbbb<blk>bbbbbbb<blk>bbbbbb<blk>bb<blk>bbb<blk>z<blk>bbbbbbbbbb<blk>bbb<blk>bbbbbb<blk><blk>bbbbbbbbb<blk>b<blk><blk><blk><blk><blk><blk>
818,7,kə̀ŋàcáŋá,negative,ðàŋàl,341.7774963378906,45.45986175537109,bbbbb<blk>bbbbbbʷʎʎbbbbʟʎɹbbɒʷɒɒɒʜɒɒʎɒɒɒʷʷɒʷʷʎɑʎʷɒɒɒʷɒʎɒbʎɒɒʎɹʟʷbbbɹbbbʎbbb<blk>b<blk>bb<blk><blk>bb<blk>bbbʎbʎbbʷbbbʷbb<blk>bbbbb<blk>b<blk>bɹ<blk>ɹ
738,9,là vɾáðɛ̀ ùnɛ́ɾɛ́,negative,ðàŋàl,234.83981323242188,45.52713394165039,bbbbbbbbɒʷɒⱱɒɒʷbʷɒɒʷwbʎɒʷbɒɒbʎbbɒʷbbbbɒbzbbɒbʎbbɒbbbɒɒɒbʷɒʎɒɒbɒɒɒbɑ<blk>bʎʎ<blk><blk><blk>
783,11,t̪òlé t̪ɔ̀là,negative,ðàŋàl,247.02703857421875,45.60487747192383,b<blk>b<blk>bbbbbbb<blk>bɒɒbɒɒʷɒbʷʷɒɒǂɒɒbbbbb<blk>bbbbb<blk>ɒʷɒɒʷɒɒɒwʷᶑwɒʷɒɒʎɒbʎʎobwʟbbbbʎ<blk>bbbb<blk><blk><blk>b<blk><blk><blk><blk>b
732,3,kúkù kápɔ́ índɔ̀,negative,ðàŋàl,172.4944305419922,45.61194610595703,<blk><blk>bbb<blk>b<blk>b<blk>bb<blk>b<blk>bb<blk>bb<blk><blk><blk><blk><blk>bbbbbbbbbbbb<blk>ʎb<blk>bbb<blk><blk>b<blk>bbbb<blk>b<blk>bb<blk>b<blk><blk>bbbbbbbb<blk>bħ<blk>b
741,12,ŋìðɛ̀ní ŋə̀ɽà ká t̪ólé,negative,ðàŋàl,216.09356689453125,45.67539978027344,bbb<blk><blk>bbbbbbbʎbbbbbbɒʎbbbbbbbʷbbʷɒʎbbbbɒbʎʎbʎbbbbbbbbbbbɒbbbɒbbbbbbbbb<blk>ʟbb<blk>
743,14,pìnɔ́ t̪ɔ́wɜ̀nì,negative,ðàŋàl,255.9037628173828,45.67930221557617,ʎʷbɒɒɒɒʷʷbɒɒɒɒʷʷǂɒɒɒɒɒǂɒɒʷoɒɒɒʷʷɒɒǂʷɒǂʷɒʷɒǂɒɒɒɒɒǂɒʎɒǂǂbɒɒbʷbʎǂɒb<blk><blk>b<blk>bb<blk><blk>b<blk>
785,0,jít̪ɔ́ ílí lɔ́ɽá ŋìðìjí kə̀r̀nà kàɾó ŋgá ŋgá jájàt̪à ɛ̀ðɛ̀,negative,ðàŋàl,1119.6925048828125,45.68403625488281,ʟɒɒɒɒɒɒɒǂɒɒɒɒɒɒɒɒɒɒɒɒǂɒɒʷɒɒɒɒɒɒɒɒɒɒɒɒɒʷǂǂɒɒbɒɒbɒɒfⱱɒǂ<blk>ⱱɒwɒɒɒɒɒɒɒbɒɒbʎɒǂbɒɑɒʷbɒɒɒʷɒbbbbbʷɒʷʎbʷʷɒʷɒɒʷɒɒɒɒɒʷɒʷɒǂʷɒʷɒʎɒʷɒɒɒbɒɒɒɒǂ̩ǂɒʷɒɒɒɒɒʷɒɒɒbǂbɒɒɒǂbɑⱱfbɒ<blk>ɒǂɑɒbʷbʟbǂbɒǂǂɒǂɒɒǂʷɒɒǂǂǂǂǂǂʷǂɒɒʎɒɒɒǂʷʷɒɒǂ̩ɒɒɒɒɒʷɒʷʷɒɒʷɒʷʷɒɒᶑɒʷɑǂɒɒɒʎɒɒɒɒɒɒɒʷɒɒɸʷʷɒbbɒbbɒʷɒɒǂǂʷɒɒʷɒɒɒǂɑʜɒɒǂɒɒǂɒɒɒɒʷɒǂɒɒɒɒbɒ
828,6,át̪ú ɔ́ɽɟɛ̀cìnɔ̀ kúkùŋú ánó dɛ̀,negative,ðàŋàl,362.2326049804688,45.74152374267578,bbbbbɹbb<blk>bbbbbbbɒɒʎɒbbɒʎʎɒbǂʷɒʎǂbbbbbbbbʷbʷʷʷbʎɒbʷʎbbbbʷʷʎboɹbbɹ<blk><blk><blk>bb<blk><blk><blk>bbbʎʷʷbbɒʷʷɒɒʷbʷʎbbzʎʷ<blk>ɒɒbbbɒbʷɒbʎbbbʎbb<blk><blk><blk>ɹ<blk><blk><blk>
804,5,áré nàŋà íjɔ̀ ùlùŋú,close_negative,ðàŋàl,286.8232727050781,45.76975631713867,<blk><blk>bbb<blk><blk>bbbb<blk>ʷʷbbʷbbbbb<blk>bb<blk>ɒbbʷbbɑɒbɒɒbɒɒʎbbbbʎɒʎbʷbbbbʷɒbbbbbbbbbbb<blk>bbbb<blk><blk>b<blk>bbb<blk>bbbb<blk>bbbbʷɒbzʷʷɒbbbb<blk>bb<blk>
724,4,ɛ́là ðúɽìðìðɔ̀ èdɔ̀ɽɔ̀ ánó nd̪ɔ̀bà,negative,ðàŋàl,457.4684448242188,45.78173065185547,ɒɒɒbɒɒʷɒɒbʷɒǂbɒɒʷbbɒǂɒbɒɒɒɒʜʷʷʷʷʷʷɒɑɒɒɒɒʎbbbbbʎbʷɒɒɒɒɒɒɒɒɒɒbɒbɒɒɒɒɒɒʷǂɒɒbbbʎʷɒɒɒɒɒɒʷɒʷɒʷʎʷʷɒʜɒʷɒbbʎbbɒɒbɒɒ<blk>ʎʎɒb<blk>ʎʷʎbbʟbb<blk><blk><blk>ɹ<blk>bbb<blk><blk>b<blk><blk><blk>ɹ<blk>b<blk><blk>
769,22,ìbɛ́j,negative,ðàŋàl,87.25694274902344,45.87881851196289,ʟɹɹ<blk>bbbbbbbb<blk>bbbb<blk><blk>b<blk>bbbbbbb<blk><blk><blk><blk>ɹɹbɹbbbbbɹb<blk><blk>ɹbbɹɹɹɹbb<blk><blk>bbɹ<blk>bb
721,1,ðàŋàl ðà və́lɛ̀ðɛ̀ ùɟí,positive,ðàŋàl,444.3759460449219,45.92049026489258,ʷbbbbbʟbbbb<blk>bbbbʷɒʷʷɒɒʷɒʎɒɒɒɒɒʎɒbɒʷɒʷɒɒʎbɒ<blk>bbʎbbbbb<blk>bʷbbʷʷʷbɒʷʎɒʷʷɒɒɒɒɒʷɒɒɒʷbɒɒɒɑɒɒɒʷɒʷɒɒɒɒbbɒbʷʎʟbbbbbb<blk><blk>ɒbbʎɒʷbʟbʎbfʷbb<blk>ʷbɒbbb<blk>bbbbbb<blk><blk><blk>b
750,3,lá ŕdà ámúðɛ́ nd̪ɔ̀bà,negative,ðàŋàl,207.4872894287109,45.97044372558594,b<blk><blk><blk><blk>ɒ<blk>bʎʷɒɒɒɒʷɒɒɒɒʷɒɒɒɒɒʎɒɒɒɒɒɒɒɒʎʷʎʷzɒbɒɒʷʎʎʷɒ<blk>b<blk>bbbbz<blk>b<blk>bb<blk>
826,4,kúkù káwàt̪à nɛ̀ lə̀və́r nd̪ɔ̀bà,negative,ðàŋàl,293.8471069335937,45.985145568847656,<blk><blk><blk>bbb<blk>bbbbb<blk>bbbbbbbbbb<blk><blk>bb<blk><blk>bbbbbbɑbbbbbbbbbbʷbbbbb<blk>bbbbbbbʎbbbbbbbbbb<blk>bbb<blk>ʎb<blk>bbbbbbbbbb<blk>bbbbbbbbbbbbbb<blk>bbbb<blk>bbbb<blk><blk><blk><blk><blk>
779,7,ðàŋàl ðìcə̀lò,positive,ðàŋàl,236.1966552734375,46.081050872802734,bb<blk>bb<blk>bbbbbbɒɒʷʷʷɒbɒɒɒʷbɒʷɒɒʷɒʷbbbɒ<blk><blk>bbbbbbbʷb<blk>bbɒɒɒbɑbbbbɑɒbɒʷb<blk><blk><blk>bʷbbb<blk>bbbbbbb<blk>bb<blk>
795,9,àt̪ùɟâj jìcə̀lò,negative,ðàŋàl,321.5863037109375,46.125732421875,ɒɒʎʷʷʷʟɒbɒɒɒɒbɑʟbɒɒɒʷǂ<blk>ɒɒɒɒʷɒǂɒɒɒʷbɒbbbbɒɒbɒɒɒbǂɒbbʷǂɒɒbɒɒɒɒɒɒʷɒʷʷɒʷʷɒwɒʎʷbbʎbbb<blk>bbbbbbb<blk>b<blk><blk>bb
786,0,və́lɛ́cí kúkùŋú,negative,ðàŋàl,296.5892639160156,46.20104217529297,bbbbʷbbbʟbʎɒbɒɒɒɒɒɒɒbɹbbbbbbbbɒʷʎbbbbʷbbbbbbʎbʟbbbbbbbb<blk>bbbʎbbbbʷbbbbɒbbb<blk>ʎbʷɒbbʷbɒbbbʟʷʎbɒbbb
782,10,ɛ́là ðáŋà ðàbà nd̪ɔ̀bà,close_negative,ðàŋàl,262.1960144042969,46.24789047241211,bbbbɒbʷʷbʷɒʷʷbʷʷʎʷɒɒɒbǂbʎɒɒʷbʎbɒɒɒɒʎɒɹbbbbbɒɒɒʷbbʎʎ<blk>ɒbbbbɒb<blk>bbʷbɹbʷbʎʎbʷbbbb<blk><blk><blk>b<blk><blk><blk><blk>
790,4,lá ɾɔ́ðà nd̪ɔ̀bà,negative,ðàŋàl,311.83502197265625,46.278587341308594,bbbbbbb<blk>ɒʷɒbʎɒʷbʷʎʷɒbʎʟʷʎɹʎbbbbbɒbbbbbbbɒɒɒɒɒɒɒɒɒɒɒɒɒʷɒɒʷɒɒbbbʎɒɒʷɒbbʎɒɒʎɒʎɒɒbʷbbb<blk>bbbbbb<blk><blk>bp<blk>
731,2,àn íjɔ́ jɛ̂,negative,ðàŋàl,225.7390289306641,46.28213882446289,<blk><blk>b<blk>bbbbɒɒɒɒɒbbbbʟʎɒb<blk>b<blk>b<blk>b<blk>b<blk>bbɑbbbʎbɒbɒɑwɑbbʎʷbbbbbbbbbbbbb<blk>bb<blk>ʷbbb<blk><blk>bbb
753,6,lá kɛ́ɾà nd̪ɔ̀bà,negative,ðàŋàl,188.1754913330078,46.295047760009766,bb<blk>bbbbbʷʷɒʷⱱɒbʷbbbɒʎɒɒbbɒɒʷʎɒɒʟɒʜɒɒʷɒbɒbʎbɒʎbʎɒbɹbʷbb<blk>bbɹ<blk>b<blk><blk>
729,0,ðə́ðá ɛ́ðɛ̀ ánó ðìcə̀lò,negative,ðàŋàl,266.1382141113281,46.30591583251953,bbbbbbbbɒʷɒʷʷʷɒʎɒbɒʷɒɒbɒɒɒʷɒɒʷʷɒɒʷɒɒʎɒʎʷɒʷʷʎbbɒɒbbbbb<blk>bbʷɒɒʷ<blk>bbbbbbbbbbbbb
791,5,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá t̪ɔ́wɜ̀nì,positive,ðàŋàl,301.6475524902344,46.351112365722656,bbbbbb<blk>boǂobɒʷɒoʷ<blk>ɒʷbbbʷɒʷɒɒʷʷɒɒʷbʷʷbbbɒʎɒbɹɑʎbʎb<blk>bbʛbbbbʷ<blk>ʷʷbʎbʎbb<blk>bbbʎbb<blk>b<blk>b<blk>bbbb<blk>bbbb<blk>bb<blk><blk><blk>
736,7,náŋà íjɔ́,negative,ðàŋàl,191.90020751953125,46.37460708618164,b<blk>b<blk><blk><blk>b<blk><blk>bbbbbbbbbb<blk>b<blk>bbʎbb<blk><blk>ʷʎbb<blk>bbbbbbbbbb<blk>ʛbbbbbbbʷbbbbbbbbbb<blk>bbbbbbb<blk><blk>
772,0,nàŋnò nìcə̀lò,negative,ðàŋàl,311.6683654785156,46.44112014770508,b<blk>bbʷbʎʷɒɒɒɒɒɒɒɒɒɒʎʷɒʷɒbʷʎʟɒɒɒɒbɒʷɒɒʎɒʷʷbbbbbbbbbbbbbbbbbɒɒɒbbbbɒɒbɒɒɒɒʷuʎɒʷɒɒʷʟʷʷbɒ
