index,phrase,recording_id,start,duration,channel,language,speaker,gloss,lemmata,fst_normalized,num_raw_variants,token_count
10,laru,HH09022020,2370.202,1.201,0,tic,Himidan,"put[CLL,VENT,PFV,left_h]",aɽ,láɽó,5,10
11,v@ledater tow@ni,HH20230703,2549.62,1.43,0,tic,Himidan,"slice[CLL,VENT,PFV,1PL.INCL.OBJ,left_h] now[]",ð t̪ɔ́wɜ̀nì,lə́ðátɛ́ŕ t̪ɔ́wɜ̀nì,4,6
12,inggadenona ijo towani,HH09022020,3056.625,3.515,0,tic,Himidan,"aux look[CLG,IT,IPFV,2PL.OBJ,1SG.SBJ,aux] letter[NOM,PL] now[]",ŋgá nɔn ðìjɔ̀ t̪ɔ́wɜ̀nì,íŋgátɛ́_nɔ́nà ìjɔ̀ t̪ɔ́wɜ̀nì,4,14
13,kukunga kakage lengci ora ngene,HH20221009,2156.075,3.03,0,tic,Himidan,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] speak.to[VENT,IPFV,left_h] sibling[ACC,SG] one[CLŊ]",kúkù ŋgá lɛŋc àɾò <CL>ɛ́nɛ̀,kúkùŋú ágàgɛ́ lɛ́ŋcí òɾà ŋɛ́nɛ̀,4,5
14,kinalere kuri,HH20210728,2690.922,1.235,0,tic,Himidan,"aux stab[CLG,IT,PFV,3PL.OBJ,1PL.EXCL.SBJ,aux] forest[NOM,SG]",ŋgá r kúɽì,kéɲâĺ_ŕɛ̀ kúɽì,4,9
15,karo,HH20220201,334.905,0.68,0,tic,Himidan,"say[CLG,VENT,PFV,left_h]",aɾ,káɾɔ́,4,4
16,dori,HH07242020-Zoom1,167.805,1.175,0,tic,Himidan,"climb.down[CLJ,IT,DEP]",ur,jùrì,4,8
17,av@ledenare unere,HH10012020,69.595,1.7000000000000002,0,tic,Himidan,"pull[VENT,PFV,1PL.EXCL.OBJ,2SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,ávə̀lɛ̀ðɔ́éɲárɛ́ únɛ́ɾɛ́,4,5
18,la edi ale ndoba,HH20211026,881.357,1.29,0,tic,Himidan,"aux[CLL,IPFV] touch[VENT,IPFV,left_h] stone[ACC,SG] tomorrow[]",ŋgá ɜd âl nd̪ɔ̀bà,lá ɜ́dí álɛ́ nd̪ɔ̀bà,4,7
19,urno k@v@ledo dangala,HH11042020-Zoom,793.997,1.731,0,tic,Himidan,"grandfather/grandchild[NOM,SG] pull[CLG,VENT,PFV] sheep[ACC,SG,left_h]",ùrnɔ̀ vəlɛð ðàŋàl,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðáŋàlà,4,7
20,agangiv@lede unere,HH01222021,867.418,2.464,0,tic,Himidan,"aux pull[CLG,IT,PFV,1SG.OBJ,2SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,ágàŋɛ̂_və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,4,7
21,l@v@ledalo unere,HH09242020,2406.616,1.915,0,tic,Himidan,"pull[CLL,VENT,PFV,3PL.OBJ,2SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáló únɛ́ɾɛ́,4,6
22,l@v@ledanalo unere,HH09242020,2584.32,1.732,0,tic,Himidan,"pull[CLL,VENT,PFV,WH.LOCATIVE,3SG.OBJ,1PL.EXCL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲàl únɛ́ɾɛ́,4,10
23,laro,HH20211004,1912.453,0.71,0,tic,Himidan,"rock[ACC,SG]",lárɔ́,láró,4,9
24,lar@ngato ngave,HH07312020-Audacity,563.245,2.92,0,tic,Himidan,"fetch[CLL,VENT,PFV,left_h] water[ACC,SG]",aɽəŋat̪ ŋáó,láɽə̀ŋàt̪ɔ́ ŋávɛ́,4,7
25,lang@l v@lede unere,HH20210312,329.83,2.7,0,tic,Himidan,"see[CLL,VENT,PFV,WH.LOCATIVE] pull[IT,PFV] yesterday[]",aŋ vəlɛð ùnɛ́ɾɛ́,làŋúl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,4,12
26,lela l@t@ve dar,HH20210927,2882.779,1.5,0,tic,Himidan,"gourd.piece[NOM,SG,left_h] slice[CLL,IT,DEP] rope[NOM,SG]",ɛ̀là(1) t̪əv ðár,ɛ́là lə̀t̪ə̀vɛ̀ ðár,4,9
27,mudu nggadije uri elo avan,HH08212020-2,1312.58,3.636,0,tic,Himidan,"leopard[NOM,SG] aux beat[CLG,IT,PFV,aux,left_h] tree[NOM,PL,left_h] God[NOM,SG] very.much[]",mùðù ŋgá ij ðùɽì(1) ɛ́lɔ́(1) àvàn,mùðù ŋgá_íjɛ̀ úɽì ɛ́lɔ́ àvàn,4,4
28,ar@ngajtelo ngave,HH07312020-Audacity,1555.684,1.109,0,tic,Himidan,"fetch[CLT̪,VENT,PFV,3PL.OBJ,1SG.SBJ,left_h] water[ACC,SG]",aɽəŋat̪ ŋáó,t̪áɽə̀ŋàt̪ɛ́ló ŋávɛ́,4,8
29,nave anna nijo ulungu,HH20201021-1,1880.02,2.77,0,tic,Himidan,"aux[CLƝ,IT,PFV,1DU.INCL.OBJ] carry[VENT,IMP] beat[CLN,VENT,PFV] last.year[]",ŋgá ap ij ùlùŋú,ɲàtɛ́ àpá nìjɔ́ ùlùŋú,4,7
30,naleo nalagara lomode,HH08142020,4191.094,2.634,0,tic,Himidan,"aux[CLƝ,IT,PFV,3PL.OBJ] aux break[CLL,IT,IPFV,1PL.EXCL.SBJ,aux] count[CLL,IT,DEP]",ŋgá ŋgá kaɾ umɛð,ɲàló ɲàlá_káɾà lùmɛ̀ðɛ̀,4,7
31,nggenav@leda ndobage,HH10012020,1784.929,1.989,0,tic,Himidan,"aux pull[CLG,IT,IPFV,3SG.OBJ,1PL.EXCL.SBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,ŋgéɲâ_və̀lɛ̀ðà nd̪ɔ̀bàgɛ̀,4,7
32,nggalv@leda ndobage,HH10012020,2201.467,2.279,0,tic,Himidan,"aux pull[CLG,IT,IPFV,3SG.OBJ,3SG.SBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,ŋgál_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,4,6
33,ora nggapino ndoba,HH20220124,655.712,2.39,0,tic,Himidan,"child[NOM,SG] aux hit-pass[CLG,VENT,IPFV,aux] tomorrow[]",órá ŋgá p-in nd̪ɔ̀bà,órá ŋgá_pìnɔ́ nd̪ɔ̀bà,4,7
34,ora kic@lo,HH20211018,1127.287,1.133,0,tic,Himidan,"sibling[ACC,SG,left_h] good[CLG]",àɾò icəlo,óɾà kìcə̀lò,4,9
35,ta unere dangal v@lede,HH02192021,3265.351,1.219,0,tic,Himidan,"aux[CLT̪,IT,PFV,left_h] yesterday[left_h] sheep[NOM,SG,left_h] pull[IT,PFV]",ŋgá ùnɛ́ɾɛ́ ðàŋàl vəlɛð,t̪â únɛ́ɾɛ́ ðáŋàl və́lɛ̀ðɛ̀,4,4
36,ele,HH11112020,128.29,0.74,0,tic,Himidan,"gourd.piece[ACC,SG]",ɛ̀là(1),ɛ̀lɛ̀,4,8
37,eito l@v@lede dar,HH11042020-Zoom-1,332.91,2.1,0,tic,Himidan,"hit-ben[VENT,IPFV,left_h] pull[CLL,IT,DEP,left_h] rope[NOM,SG]",p-it̪ vəlɛð ðár,pít̪ɔ́ lə́və̀lɛ̀ðɛ̀ ðár,3,12
38,elara k@dino bacom,HH20220629-1,883.76,1.4,0,tic,Himidan,"farmer[NOM,SG] fear[CLG,VENT,PFV] fox[NOM,SG,left_h]",ɛ̀làɽà ðiɲ(1) bàcʊ̂m,ɛ̀làɽà kə̀ðìɲɔ́ bácʊ̂m,3,3
39,emanalo krarao,HH20220306-2,3230.752,1.714,0,tic,Himidan,"husband[NOM,SG,2SG/2PL] break[VENT,IMP]",ɛ̀màn kaɾ,ɛ̀mànàló kàɾá,3,4
40,eru kic@lo,HH20230608,3070.568,1.276,0,tic,Himidan,"spider.web[NOM,SG] good[CLG]",ɜ́rú icəlo,ɜ́rú kìcə̀lò,3,8
41,idanga il@ni,HH20230407,1739.685,1.165,0,tic,Himidan,"fall[CLJ,VENT,PFV,2SG.OBJ] chase[VENT,IPFV,left_h]",id rlɛɲ,jìdáŋà ŕlɛ̀ɲí,3,3
42,iganona ijo towani,HH09022020,3007.533,1.954,0,tic,Himidan,"aux look[CLG,IT,IPFV,2SG.SBJ,aux] letter[NOM,PL] now[]",ŋgá nɔn ðìjɔ̀ t̪ɔ́wɜ̀nì,ágá_nɔ́nà ìjɔ̀ t̪ɔ́wɜ̀nì,3,3
43,t@vo dar,HH20211011,1197.09,0.7000000000000001,0,tic,Himidan,"slice[VENT,IPFV,left_h] rope[NOM,SG]",t̪əv ðár,t̪ə́vɔ́ ðár,3,6
44,soringgo,HH20211019-1,103.139,1.04,0,tic,Himidan,"donkey.DIM[NOM,SG]",sɔ̀ɽíŋgɔ́,sɔ̀ɽíŋgɔ́,3,3
45,duru,HH20210728,17.37,1.19,0,tic,Himidan,"ostrich[NOM,SG]",ðùɽú,ðùɽú,3,3
46,iled,HH11112020,270.355,0.85,0,tic,Himidan,"buy/sell[IT,PFV]",ilɛð,ílɛ̀ðɛ̀,3,7
47,indoto evla,HH20211102,2458.138,1.67,0,tic,Himidan,"find[IT,IMP] gourd.piece[NOM,SG]",ind̪ɛt̪ ɛ̀là(1),índ̪ɔ́t̪ɔ́ ɛ̀là,3,10
48,duro,HH20211026,2037.5,1.03,0,tic,Himidan,"stop[VENT,IPFV]",d̪uɾ,d̪ùɾɔ́,3,4
49,inggangico aprina ngene,HH20210721,143.427,2.8280000000000003,0,tic,Himidan,"aux do[CLG,IT,IPFV,2SG.OBJ,1SG.SBJ,aux] boy[ACC,SG] one[CLŊ]",ŋgá ið àpɾí <CL>ɛ́nɛ̀,íŋgáŋâ_ìðɔ̀ àpɾíɲá ŋɛ́nɛ̀,3,3
50,alvari tow@ni,HH20230717-1,84.366,1.354,0,tic,Himidan,"aux run[CLG,IT,PFV,3SG.OBJ,3SG.SBJ,aux] now[]",ŋgá var t̪ɔ́wɜ̀nì,kàl_várì t̪ɔ́wɜ̀nì,3,3
51,ingganona ngora ndoba,HH20220224,52.205,1.81,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] back[ACC,PL] tomorrow[]",ŋgá nɔn lɔ́rɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ́rá nd̪ɔ̀bà,3,9
52,urno kadev@ledo ngine,HH20211005,1870.006,3.473,0,tic,Himidan,"grandfather/grandchild[NOM,SG] aux pull[CLG,VENT,IPFV,1DU.INCL.OBJ,aux] see-pass[IT,PFV]",ùrnɔ̀ ŋgá vəlɛð aŋ-in,ùrnɔ̀ kátɛ́_və́lɛ̀ðɔ́ áŋìnɛ̀,3,5
53,ingganona ore ndoba,HH20220828,491.5,1.78,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] support.pole[ACC,PL] tomorrow[]",ŋgá nɔn ðóɾó nd̪ɔ̀bà,íŋgá_nɔ́nà ɔ́ɾɛ́ nd̪ɔ̀bà,3,16
54,iri kedupi ker noken,HH20220227-1,409.22,2.02,0,tic,Himidan,"name[ACC,SG] breastfeed[CLG,IT,DEP,left_h] destroy[VENT,IMP,left_h] grind[CLN,IT,DEP,left_h]",ìɾí ðuɽ kɛɾ ɔð,ìrí kə́ðùɽì kɛ́ɾá nɔ́ðɛ̀,3,3
55,inggav@lede dangala unere,HH01222021,106.281,2.85,0,tic,Himidan,"aux pull[CLG,IT,PFV,1SG.SBJ,aux] sheep[ACC,SG] yesterday[]",ŋgá vəlɛð ðàŋàl ùnɛ́ɾɛ́,íŋgà_və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,3,3
56,do,HH20211011,1123.23,0.58,0,tic,Himidan,"slice[VENT,IPFV]",ð,ðɔ́,3,9
57,saringgo sataran sabra ngamtere,HH20211019-1,1781.515,3.19,0,tic,Himidan,"donkey.DIM[NOM,SG] taste-loc[VENT,IMP,left_h] jump[CLL,VENT,DEP,left_h] frollicking[NOM,SG]",sɔ̀ɽíŋgɔ́ ŋat̪-at̪ abr ŋə̀mt̪ɛ́ɾɛ́,sɔ̀ɽíŋgɔ́ ŋát̪àt̪á lábr̀à ŋə̀mt̪ɛ́ɾɛ́,3,3
58,inggela jit@ve dar,HH20210927,645.112,2.542,0,tic,Himidan,"aux[CLG,IPFV,3PL.OBJ,1SG.SBJ] slice[CLJ,IT,DEP,left_h] rope[NOM,SG]",ŋgá t̪əv ðár,ŋgɛ́ĺ jə́t̪ə̀vɛ̀ ðár,3,6
59,jaito ede,HH20220111-2,994.02,1.893,0,tic,Himidan,"eat.REDUP-ben[IT,IMP] meat/vegetable/prey[NOM,PL,left_h]",jaj-it̪ r̀ðɛ̀,jájít̪ɔ́ ɛ́ðɛ̀,3,17
60,jangu laro unere,HH08072020,2205.652,3.89,0,tic,Himidan,"see[CLJ,VENT,PFV,left_h] rock[ACC,SG] yesterday[left_h]",aŋ lárɔ́ ùnɛ́ɾɛ́,jáŋú láró únɛ́ɾɛ́,3,6
61,jangu ldorna unere,HH08072020,1844.1,3.649,0,tic,Himidan,"see[CLJ,VENT,PFV,left_h] mountain[ACC,SG] yesterday[]",aŋ dòɾè ùnɛ́ɾɛ́,jáŋú dòɾèɲà ùnɛ́ɾɛ́,3,5
62,ra tow@ni,HH20220327-1,2492.498,1.471,0,tic,Himidan,"run[VENT,IMP,left_h] now[]",ɔɽ t̪ɔ́wɜ̀nì,ɔ́ɽá t̪ɔ́wɜ̀nì,3,16
63,deribi d@ringatol mudu dangala,HH20220629-1,2149.587,2.534,0,tic,Himidan,"animal.pen[NOM,SG] run-ben[CLÐ,VENT,PFV,WH.LOCATIVE,3SG.OBJ] leopard[NOM,SG,left_h] sheep[ACC,SG]",ðɜ̀ríbì ɔɽ-it̪ mùðù ðàŋàl,ðɜ̀ríbì ðɔ̀ɽiŋ̀t̪úl múðù ðàŋàlà,3,4
64,jengci aprina ngene,HH20210721,263.402,2.006,0,tic,Himidan,"show[CLJ,VENT,PFV] boy[ACC,SG] one[CLŊ]",aŋc àpɾí <CL>ɛ́nɛ̀,jàŋcí àpɾíɲá ŋɛ́nɛ̀,3,3
65,dav@lede unere,HH20210305,497.107,1.02,0,tic,Himidan,"aux pull[CLÐ,IT,PFV,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,ðà_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,3,9
66,k@v@ledengi unere,HH09242020,1005.471,1.9,0,tic,Himidan,"pull[CLG,VENT,PFV,3SG.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɛ́ŋí únɛ́ɾɛ́,3,8
67,k@ngacingi,HH20210707,2449.096,1.19,0,tic,Himidan,"give[CLG,VENT,PFV,3SG.OBJ,1SG.SBJ]",ŋac,kə̀ŋàcíŋí,3,7
68,k@v@ledana unere,HH09242020,1819.833,1.892,0,tic,Himidan,"pull[CLG,VENT,PFV,3SG.OBJ,2PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðáɲá únɛ́ɾɛ́,3,5
69,k@v@ledanga unere,HH09242020,1154.618,2.064,0,tic,Himidan,"pull[CLG,VENT,PFV,3SG.OBJ,2SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðáŋá únɛ́ɾɛ́,3,4
70,dao da urno v@ledo,HH20211005,1477.88,1.621,0,tic,Himidan,"aux[CLÐ,IT,PFV] aux[CLÐ,IPFV] grandfather/grandchild[NOM,SG,left_h] pull[VENT,IPFV]",ŋgá ŋgá ùrnɔ̀ vəlɛð,ðà ðá úrnɔ̀ və̀lɛ̀ðɔ́,3,5
71,dangal d@v@ledo urno,HH11042020-Zoom,172.358,3.38,0,tic,Himidan,"sheep[NOM,SG] pull[CLÐ,VENT,PFV] grandfather/grandchild[NOM,SG,left_h]",ðàŋàl vəlɛð ùrnɔ̀,ðàŋàl ðə̀və̀lɛ̀ðɔ́ úrnɔ̀,3,3
72,dangal d@v@ledo urno unere,HH10282020,3082.985,2.29,0,tic,Himidan,"sheep[NOM,SG,left_h] pull[CLÐ,VENT,PFV,left_h] grandfather/grandchild[NOM,SG,left_h] yesterday[]",ðàŋàl vəlɛð ùrnɔ̀ ùnɛ́ɾɛ́,ðáŋàl ðə́və̀lɛ̀ðɔ́ úrnɔ̀ ùnɛ́ɾɛ́,3,3
73,korjeci ano unere,HH20230703,1721.89,1.62,0,tic,Himidan,"help[CLG,VENT,PFV,left_h] PARTICLE[] yesterday[left_h]",ɔɽɟɛc ánó ùnɛ́ɾɛ́,kɔ́ɽɟɛ̀cí ánó únɛ́ɾɛ́,3,5
74,kuku k@ngacanga,HH20210707,2632.211,1.46,0,tic,Himidan,"1st.born.male.child[NOM,SG] give[CLG,VENT,PFV,3SG.OBJ,2SG.SBJ]",kúkù ŋac,kúkù kə̀ŋàcáŋá,3,5
75,kuku k@ngacanga rngo,HH20210707,2577.176,2.3,0,tic,Himidan,"1st.born.male.child[NOM,SG] give[CLG,VENT,PFV,2SG.OBJ] snake[NOM,SG]",kúkù ŋac r̀ŋɔ̀,kúkù kə̀ŋàcáŋà r̀ŋɔ̀,3,21
76,kuku k@ve ng@ri an ijo,HH20201021-1,1354.02,3.3,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux[CLG,IT,PFV,WH.CLASS] climb.down[CLŊ,IT,DEP] FOC[] beat[VENT,IPFV,left_h]",kúkù ŋgá ur àn ij,kúkù kàgɛ́ ŋùrì àn íjɔ́,3,5
77,opi ngamrare,HH20220306-2,3365.129,1.247,0,tic,Himidan,"thank.you[] put[CLŊ,VENT,PFV,1DU.INCL.OBJ,left_h]",ɔ̀pí aɽ,ɔ̀pí ŋáɽátɛ́,3,3
78,ora kar@ngata ngave,HH07312020-Audacity,2709.225,3.926,0,tic,Himidan,"child[NOM,SG] fetch[CLG,VENT,DEP,left_h] water[ACC,SG]",órá aɽəŋat̪ ŋáó,órá káɽə̀ŋàt̪à ŋávɛ́,3,6
79,kuku kak@ci ngomo,HH20221028,1396.974,2.14,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux take[CLG,IT,PFV,aux] food/bread[NOM,PL]",kúkù ŋgá kɛc lɔ̀mɔ̀,kúkù kà_kɛ́cì ŋɔ̀mɔ̀,3,3
80,kuku kakececi ngomo dun,HH20221028,1924.158,2.419,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux take-loc[CLG,IT,PFV,aux,left_h] food/bread[NOM,PL] home[NOM,SG]",kúkù ŋgá kɛc-ɛc lɔ̀mɔ̀ dún,kúkù ká_kɛ́cɛ̀cì ŋɔ̀mɔ̀ dún,3,3
81,kuku kandiji aprina,HH20221127,1455.305,1.94,0,tic,Himidan,"1st.born.male.child[NOM,SG] enter-caus[CLG,IT,DEP,left_h] boy[ACC,SG]",kúkù ant̪-ij àpɾí,kúkù kánt̪ìjì àpɾíɲá,3,6
82,kuku kapito kakangu indo,HH20221111,1772.679,2.87,0,tic,Himidan,"1st.born.male.child[NOM,SG] carry-ben[CLG,VENT,DEP,left_h] 1st.born.male.child[ACC,SG] drum[ACC,SG,left_h]",kúkù ap-it̪ kákà ìndò,kúkù kápìt̪ɔ̀ kákàŋú índɔ̀,3,9
83,kuku kapito kakangu ngomo,HH20221021,1072.022,2.485,0,tic,Himidan,"1st.born.male.child[NOM,SG] carry-ben[CLG,VENT,PFV] 1st.born.male.child[ACC,SG] food/bread[NOM,PL,left_h]",kúkù ap-it̪ kákà lɔ̀mɔ̀,kúkù kàpìt̪ɔ́ kákàŋú ŋɔ́mɔ̀,3,8
84,kuku kapo indo,HH20221014,205.76,1.54,0,tic,Himidan,"1st.born.male.child[NOM,SG] carry[CLG,VENT,PFV,left_h] drum[ACC,SG,left_h]",kúkù ap ìndò,kúkù kápɔ́ índɔ̀,3,9
85,kuku kengci kakangu ngene,HH20221009,1589.25,2.46,0,tic,Himidan,"1st.born.male.child[NOM,SG] show[CLG,IT,DEP,left_h] 1st.born.male.child[ACC,SG] one[CLŊ]",kúkù aŋc kákà <CL>ɛ́nɛ̀,kúkù káŋcì kákàŋú ŋɛ́nɛ̀,3,7
86,kuku kengciji aprina ngene,HH20221014,2324.065,2.64,0,tic,Himidan,"1st.born.male.child[NOM,SG] show-caus[CLG,IT,DEP,left_h] boy[ACC,SG,left_h] one[CLŊ]",kúkù aŋc-ij àpɾí <CL>ɛ́nɛ̀,kúkù káŋcìjì ápɾíɲá ŋɛ́nɛ̀,3,8
87,kuku nggad@nona ngene,HH04232021,900.492,3.079,0,tic,Himidan,"1st.born.male.child[NOM,SG] aux look[CLG,VENT,IPFV,aux] one[CLŊ]",kúkù ŋgá nɔn <CL>ɛ́nɛ̀,kúkù ŋgá_nɔ̀nɔ́ ŋɛ́nɛ̀,3,7
88,d@v@ledong unere,HH02192021,2377.674,1.738,0,tic,Himidan,"pull[CLÐ,VENT,PFV,3SG.OBJ] yesterday[]",vəlɛð ùnɛ́ɾɛ́,ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ́,3,5
89,agaduro k@nona imidanngwo,HH08212020-1,1196.324,2.89,0,tic,Himidan,"aux stop[CLG,VENT,IPFV,2SG.SBJ,aux] look[CLG,VENT,DEP,left_h] Himidan[ACC,SG]",ŋgá d̪uɾ nɔn ìmìdán,ágá_d̪ùɾɔ́ kə́nɔ̀nà ìmìdánŋwɔ́,3,3
90,l@v@ledali unere,HH09242020,2480.41,1.326,0,tic,Himidan,"pull[CLL,VENT,PFV,3SG.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɜ́l únɛ́ɾɛ́,3,7
91,adongno ale,HH20211026,1387.401,1.26,0,tic,Himidan,"push[VENT,PFV,2SG.SBJ] stone[ACC,SG]",dɔŋð âl,ádɔ̀ŋðɔ́ álɛ́,3,11
92,l@vavri la elara dongdo t@manta,HH20220708-1,1855.49,2.31,0,tic,Himidan,"bicycle[NOM,SG] aux[CLL,IPFV] farmer[NOM,SG,left_h] push[VENT,IPFV] take-loc[CLT̪,VENT,DEP,left_h]",lə̀vàvɾì ŋgá ɛ̀làɽà dɔŋð m-at̪,lə̀vàvɾì lá ɛ́làɽà dɔ̀ŋðɔ́ t̪ə́màt̪à,3,3
93,l@ve anli nijo,HH20201021-1,1504.36,1.9,0,tic,Himidan,"bowl[NOM,SG] ear/leaf[NOM,SG] shepherd[NOM,PL]",lə̀ré ɜ̀nì ìjɔ̀,lə̀ré ɜ̀nì nìjɔ̀,3,3
94,ngora,HH20221003,2892.221,0.53,0,tic,Himidan,"charcoal[NOM,PL]",lòɾá,ŋòɾá,3,8
95,la adongno ale,HH20211026,1210.017,1.43,0,tic,Himidan,"aux[CLL,IPFV] push[VENT,PFV,2SG.SBJ] stone[ACC,SG]",ŋgá dɔŋð âl,lá ádɔ̀ŋðɔ́ álɛ́,3,13
96,la liji ude unere,HH20220118,1880.6,2.88,0,tic,Himidan,"aux[CLL,IT,PFV] person[NOM,PL,left_h] kindle[IT,PFV] yesterday[]",ŋgá ùɟí ud̪ ùnɛ́ɾɛ́,là líɟí úd̪ɛ̀ ùnɛ́ɾɛ́,3,9
97,ngidini ngamini ngomo,HH20230717-1,2573.31,2.34,0,tic,Himidan,"do-caus[CLŊ,VENT,PFV] love[CLŊ,IT,DEP,left_h] food/bread[NOM,PL]",ið-ij amiɲ lɔ̀mɔ̀,ŋìðìjí ŋámìɲì ŋɔ̀mɔ̀,3,5
98,an elara kadongde l@vavra,HH20220708-1,1034.065,2.09,0,tic,Himidan,"FOC[] farmer[NOM,SG,left_h] aux push[CLG,IT,PFV,aux,left_h] bicycle[ACC,SG]",àn ɛ̀làɽà ŋgá dɔŋð lə̀vàvɾì,àn ɛ́làɽà ká_dɔ́ŋðɛ̀ lə̀vàvɾà,3,10
99,bolo tow@ni,HH20211207-Zoom,1783.802,1.203,0,tic,Himidan,"wrestle[VENT,IPFV,left_h] now[]",bɔl t̪ɔ́wɜ̀nì,bɔ́lú t̪ɔ́wɜ̀nì,3,5
100,lab@ralo,HH20230731-1,2455.74,0.96,0,tic,Himidan,"hit[CLL,VENT,PFV,3PL.OBJ,2SG.SBJ,left_h]",biɽ,lə́bìɽáló,3,15
101,laedi ale unere,HH20211207-Zoom,417.292,1.423,0,tic,Himidan,"aux touch[CLL,IT,PFV,aux] stone[ACC,SG] yesterday[]",ŋgá ɜd âl ùnɛ́ɾɛ́,là_ɜ́dì álɛ́ ùnɛ́ɾɛ́,3,3
