index,recording_id,start,duration,channel,text,language,speaker,text_normalized,gloss,lemmata,fst_normalized,num_raw_variants
5810,HH20211130,253.215,2.27,0,làmìɲí lɔ́mɛ́ ùnɛ̀ɾɛ̀,tic,Himidan,lamini lome unere,"love[CLL,VENT,PFV] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,6
5811,HH20211207,1450.0,1.75,0,làmìɲí lɔmɛ unɛɾɛ,tic,Himidan,lamini lome unere,"love[CLL,VENT,PFV] rain[NOM,SG] yesterday[left_h]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,làmìɲí lɔ́mɛ́ únɛ́ɾɛ́,6
5812,HH20211207-Zoom,920.698,1.592,0,lǎmìɲì lɔ́mɛ́ ùnɛ̀ɾɛ̀,tic,Himidan,lamini lome unere,"love[CLL,IT,DEP,left_h] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,lámìɲì lɔ́mɛ́ ùnɛ́ɾɛ́,6
6115,HH20220206-1,20.145,1.53,0,làɾò lìcə̀lò,tic,Himidan,laro lic@lo,"sibling[NOM,PL] good[CLL]",àɾò icəlo,làɾò lìcə̀lò,6
5728,HH02192021,1287.667,1.745,0,lǎlóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
6110,HH20220206-1,32.165,1.53,0,lâɾò lìcə̀lò,tic,Himidan,laro lic@lo,"chicken/hen[NOM,PL] good[CLL]",âɾò icəlo,lâɾò lìcə̀lò,6
6111,HH20220206-1,38.42,1.55,0,láró lìcə̀lò,tic,Himidan,laro lic@lo,"rock[ACC,SG] good[CLL]",lárɔ́ icəlo,láró lìcə̀lò,6
6114,HH20211004,1920.994,0.988,0,lárò lìcə̀lò,tic,Himidan,laro lic@lo,"rock[ACC,SG] good[CLL]",lárɔ́ icəlo,láró lìcə̀lò,6
6113,HH20220326-3,458.84,1.75,0,lárɔ́ lìcə̀lò,tic,Himidan,laro lic@lo,"rock[NOM,SG] good[CLL]",lárɔ́ icəlo,lárɔ́ lìcə̀lò,6
6112,HH20220326-5,707.935,1.49,0,láɾò lìcə̀lò,tic,Himidan,laro lic@lo,"sibling[NOM,PL,left_h] good[CLL]",àɾò icəlo,láɾò lìcə̀lò,6
5730,HH10072020,150.14,2.47,0,lálóvə́lɛ̂ðá nd̪ɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
5729,HH10072020,104.74,1.8599999999999999,0,lálóvə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
3773,HH10012020,475.445,1.57,0,kə̀və̀lɛ̀ðɔ̂l ùnɛ̀ɾɛ̀,tic,Himidan,k@v@ledol unere,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5
3772,HH20201021,1156.986,1.42,0,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀̀,tic,Himidan,k@v@ledol unere,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5
3776,HH20201021,1159.486,1.38,0,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀̌,tic,Himidan,k@v@ledol unere,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5
5088,HH20210305,1636.557,1.48,0,lə̀və̀lɛ̀ðɛ́ló únɛ̀rɛ̀,tic,Himidan,l@v@ledelo unere,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5
5066,HH20210312,577.34,2.03,0,lə̀və̀lɛ̀ðáɲǎl únɛ́ɾɛ̀,tic,Himidan,l@v@ledanal unere,"pull[CLL,VENT,PFV,3PL.OBJ,1PL.EXCL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲâl únɛ́ɾɛ́,5
5064,HH20210312,588.53,2.61,0,lə̀və̀lɛ̀ðáɲǎl únɛ̀ɾɛ̀,tic,Himidan,l@v@ledanal unere,"pull[CLL,VENT,PFV,3PL.OBJ,1PL.EXCL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲâl únɛ́ɾɛ́,5
5539,HH20211019-1,2404.96,2.22,0,láìðɔ́ íjɔ̀ nd̪ɔ̀bà,tic,Himidan,laido ijo ndoba,"aux do[CLL,VENT,IPFV,aux] letter[NOM,PL,left_h] tomorrow[]",ŋgá ið ðìjɔ̀ nd̪ɔ̀bà,lá_ìðɔ́ íjɔ̀ nd̪ɔ̀bà,5
5542,HH20211019-2,1044.45,1.34,0,láíðɔ̀ íjɔ́ nd̪ɔ̀bà,tic,Himidan,laido ijo ndoba,"aux do[CLL,IT,IPFV,aux] beat[VENT,IPFV,left_h] tomorrow[]",ŋgá ið ij nd̪ɔ̀bà,lá_íðɔ̀ íjɔ́ nd̪ɔ̀bà,5
5541,HH20211019-1,2351.975,1.54,0,láíðɔ̀ íjɔ̀ nd̪ɔ̀bà,tic,Himidan,laido ijo ndoba,"aux do[CLL,IT,IPFV,aux] letter[NOM,PL,left_h] tomorrow[]",ŋgá ið ðìjɔ̀ nd̪ɔ̀bà,lá_íðɔ̀ íjɔ̀ nd̪ɔ̀bà,5
3774,HH02262021,2995.865,1.798,0,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀,tic,Himidan,k@v@ledol unere,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5
3775,HH09242020,3293.781,1.759,0,kə̀və̀lɛ̀ðɔ̂l ùnɛ́rɛ̀,tic,Himidan,k@v@ledol unere,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5
218,HH20210927,2343.615,1.62,0,àlɛ́là lə̀t̪ə́vɛ̀ ðár,tic,Himidan,alela l@t@ve dar,"gourd.piece[NOM,SG,left_h] slice[CLL,IT,DEP] rope[NOM,SG]",ɛ̀là(1) t̪əv ðár,ɛ́là lə̀t̪ə̀vɛ̀ ðár,5
6575,HH20210305,2284.517,1.62,0,lɛ̀lvə́lɛ̂ðɛ́ ùnɛ̀ɾɛ̀,tic,Himidan,lelv@lede unere,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ̀ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5
6573,HH20210305,1646.067,1.78,0,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ̀rɛ̀,tic,Himidan,lelv@lede unere,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ̀ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5
6574,HH20210305,2014.997,1.06,0,lɛ́lvə́lɛ̂ðɛ̀ ùnɛ̀ɾɛ̀,tic,Himidan,lelv@lede unere,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux,left_h] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ́ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5
6576,HH01292021,1730.689,2.408,0,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,tic,Himidan,lelv@lede unere,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ̀ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5
6577,HH20210305,2286.137,1.08,0,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ̀ɾɛ̀,tic,Himidan,lelv@lede unere,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ̀ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5
6189,HH09022020,2370.202,1.201,0,láɽû,tic,Himidan,laru,"put[CLL,VENT,PFV,left_h]",aɽ,láɽó,5
6190,HH20230724,537.98,1.0,0,lárû,tic,Himidan,laru,"rock[ACC,SG]",lárɔ́,láró,5
6191,HH08072020,2304.594,0.883,0,lárʊ̂,tic,Himidan,laru,"rock[ACC,SG]",lárɔ́,láró,5
6192,HH09022020,2517.047,0.643,0,làɽǔ,tic,Himidan,laru,"put[CLL,VENT,PFV]",aɽ,làɽó,5
6188,HH20211012,731.544,0.707,0,làɾú,tic,Himidan,laru,"say[CLL,VENT,PFV]",aɾ,làɾɔ́,5
5538,HH20211019-2,1097.565,2.03,0,láìðɔ́ íjɔ́ nd̪ɔ̀bà,tic,Himidan,laido ijo ndoba,"aux do[CLL,VENT,IPFV,aux] beat[VENT,IPFV,left_h] tomorrow[]",ŋgá ið ij nd̪ɔ̀bà,lá_ìðɔ́ íjɔ́ nd̪ɔ̀bà,5
219,HH20210927,2362.871,1.486,0,álɛ́là lə̀t̪ə́vɛ̀ ðár,tic,Himidan,alela l@t@ve dar,"sing[IT,IPFV] slice[CLL,IT,DEP] rope[NOM,SG]",aleŋ t̪əv ðár,álèŋà lə̀t̪ə̀vɛ̀ ðár,5
217,HH20210927,2374.297,1.722,0,álɛ́là lə́t̪ə́vɛ̀ ðár,tic,Himidan,alela l@t@ve dar,"sing[IT,IPFV] slice[CLL,IT,DEP,left_h] rope[NOM,SG]",aleŋ t̪əv ðár,álèŋà lə́t̪ə̀vɛ̀ ðár,5
216,HH20210927,2125.108,1.876,0,álɛ́là lə́t̪ə́vɛ̀ ðàr,tic,Himidan,alela l@t@ve dar,"sing[IT,IPFV] slice[CLL,IT,DEP,left_h] rope[NOM,SG]",aleŋ t̪əv ðár,álèŋà lə́t̪ə̀vɛ̀ ðár,5
215,HH20210927,2115.304,1.327,0,álɛ́là lə̀t̪ə́vɛ̀ ðàr,tic,Himidan,alela l@t@ve dar,"sing[IT,IPFV] slice[CLL,IT,DEP] rope[NOM,SG]",aleŋ t̪əv ðár,álèŋà lə̀t̪ə̀vɛ̀ ðár,5
5087,HH09242020,2253.257,2.069,0,lə̀və̀lɛ̀ðɛ́ló únɛ́rɛ̀,tic,Himidan,l@v@ledelo unere,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5
5086,HH09242020,2067.706,1.718,0,lə̀və̀lɛ̀ðɜ́ló únɛ̀rɛ̀,tic,Himidan,l@v@ledelo unere,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5
5540,HH20211019-1,2458.425,1.8599999999999999,0,láìðɔ́ íjɔ̀ nd̪ɔ̀bǎ,tic,Himidan,laido ijo ndoba,"aux do[CLL,VENT,IPFV,aux] letter[NOM,PL,left_h] tomorrow[]",ŋgá ið ðìjɔ̀ nd̪ɔ̀bà,lá_ìðɔ́ íjɔ̀ nd̪ɔ̀bà,5
5062,HH20210312,581.41,1.77,0,lə̀və̀lɛ̀ðáɲál únɛ́ɾɛ̀,tic,Himidan,l@v@ledanal unere,"pull[CLL,VENT,PFV,WH.LOCATIVE,3SG.OBJ,2PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲál únɛ́ɾɛ́,5
5063,HH09242020,2932.622,1.612,0,lə̀və̀lɛ̀ðáɲál ùnɛ̀rɛ̌,tic,Himidan,l@v@ledanal unere,"pull[CLL,VENT,PFV,WH.LOCATIVE,3SG.OBJ,2PL.SBJ] yesterday[]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲál ùnɛ́ɾɛ́,5
5085,HH09242020,2256.472,1.893,0,lə̀və̀lɛ̀ðɛ́ló ûnɛ̀rɛ̀,tic,Himidan,l@v@ledelo unere,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5
5065,HH20210312,677.82,1.82,0,lə̀və̀lɛ̀ðáɲál únɛ̀ɾɛ̀,tic,Himidan,l@v@ledanal unere,"pull[CLL,VENT,PFV,WH.LOCATIVE,3SG.OBJ,2PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲál únɛ́ɾɛ́,5
5084,HH09242020,2046.775,1.145,0,lə̀və̀lɛ̀ðɜ̂ló únɛ́rɛ̀,tic,Himidan,l@v@ledelo unere,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5
9297,HH20230703,2549.62,1.43,0,və̀lɛ́ðátɛ́r t̪ɔ́wə̀nì,tic,Himidan,v@ledater tow@ni,"slice[CLL,VENT,PFV,1PL.INCL.OBJ,left_h] now[]",ð t̪ɔ́wɜ̀nì,lə́ðátɛ́ŕ t̪ɔ́wɜ̀nì,4
9294,HH20230703,2548.0,1.13,0,və́lɛ́ðátɛ́r t̪ɔ́wə̀nì,tic,Himidan,v@ledater tow@ni,"pull-loc[IT,PFV,1PL.INCL.SBJ] now[]",vəlɛð-at̪ t̪ɔ́wɜ̀nì,və́lɛ̀ðàt̪ɛ̀ŕ t̪ɔ́wɜ̀nì,4
9295,HH20230703,2540.0,1.6099999999999999,0,və̀lɛ̀ðátɛ́r t̪ɔ́wə̀nì,tic,Himidan,v@ledater tow@ni,"plait[CLG,VENT,PFV,1PL.INCL.OBJ] now[]",mɛð t̪ɔ́wɜ̀nì,kə̀mɛ̀ðátɛ́ŕ t̪ɔ́wɜ̀nì,4
9296,HH20230626,3390.03,1.87,0,və̀lɛ̀ðát̪ɛ́r t̪ɔ́wə̀nì,tic,Himidan,v@ledater tow@ni,"pull-loc[IT,PFV,1PL.INCL.SBJ] now[]",vəlɛð-at̪ t̪ɔ́wɜ̀nì,və́lɛ̀ðàt̪ɛ̀ŕ t̪ɔ́wɜ̀nì,4
2613,HH09022020,3056.625,3.515,0,íŋgáðɛ́nònǎ ìjò t̪ówànî,tic,Himidan,inggadenona ijo towani,"aux look[CLG,IT,IPFV,2PL.OBJ,1SG.SBJ,aux] letter[NOM,PL] now[]",ŋgá nɔn ðìjɔ̀ t̪ɔ́wɜ̀nì,íŋgátɛ́_nɔ́nà ìjɔ̀ t̪ɔ́wɜ̀nì,4
2612,HH09022020,3134.239,2.432,0,íŋgáðɛ́nônà íjó t̪ówànî,tic,Himidan,inggadenona ijo towani,"aux look[CLG,IT,IPFV,2PL.OBJ,1SG.SBJ,aux] beat[VENT,IPFV,left_h] now[]",ŋgá nɔn ij t̪ɔ́wɜ̀nì,íŋgátɛ́_nɔ́nà íjɔ́ t̪ɔ́wɜ̀nì,4
2614,HH09022020,3004.644,1.7189999999999999,0,íŋgáðɛ́nònà ìjò t̪ówànî,tic,Himidan,inggadenona ijo towani,"aux look[CLG,IT,IPFV,2PL.OBJ,1SG.SBJ,aux] letter[NOM,PL] now[]",ŋgá nɔn ðìjɔ̀ t̪ɔ́wɜ̀nì,íŋgátɛ́_nɔ́nà ìjɔ̀ t̪ɔ́wɜ̀nì,4
2615,HH09022020,2953.307,2.672,0,íŋgáðɛ́nônà ìjò t̪ówànî,tic,Himidan,inggadenona ijo towani,"aux look[CLG,IT,IPFV,2PL.OBJ,1SG.SBJ,aux] letter[NOM,PL] now[]",ŋgá nɔn ðìjɔ̀ t̪ɔ́wɜ̀nì,íŋgátɛ́_nɔ́nà ìjɔ̀ t̪ɔ́wɜ̀nì,4
4921,HH20221009,2156.075,3.03,0,kúkùŋà kákàgɛ̀ lɛ̂ŋcí ɔ̀ɾà ŋɛ́nɛ̀,tic,Himidan,kukunga kakage lengci ora ngene,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] speak.to[VENT,IPFV,left_h] sibling[ACC,SG] one[CLŊ]",kúkù ŋgá lɛŋc àɾò <CL>ɛ́nɛ̀,kúkùŋú ágàgɛ́ lɛ́ŋcí òɾà ŋɛ́nɛ̀,4
4922,HH20221009,2150.435,3.0,0,kúkùŋà kákàgɛ̀ lɜ̂ŋcí ɔ̀ɾà ŋɛ́nɛ̀,tic,Himidan,kukunga kakage lengci ora ngene,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] show[CLL,VENT,PFV,left_h] sibling[ACC,SG] one[CLŊ]",kúkù ŋgá aŋc àɾò <CL>ɛ́nɛ̀,kúkùŋú ágàgɛ́ láŋcí òɾà ŋɛ́nɛ̀,4
4923,HH20221009,1702.47,2.98,0,kúkùŋà kákàgɛ̀ lɜ̀ŋcí ɔ́ɾà ŋɛ́nɛ̀,tic,Himidan,kukunga kakage lengci ora ngene,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] speak.to[VENT,IPFV] sibling[ACC,SG,left_h] one[CLŊ]",kúkù ŋgá lɛŋc àɾò <CL>ɛ́nɛ̀,kúkùŋú ágàgɛ́ lɛ̀ŋcí óɾà ŋɛ́nɛ̀,4
4924,HH20221009,1982.425,2.73,0,kúkùŋà kákàgɛ̀ lɜ́ŋcì ɔ́ɾà ŋɛ́nɛ̀,tic,Himidan,kukunga kakage lengci ora ngene,"1st.born.male.child[ACC,SG] aux[CLG,IT,PFV,WH.CLASS,2SG.SBJ] speak.to[IT,PFV] sibling[ACC,SG,left_h] one[CLŊ]",kúkù ŋgá lɛŋc àɾò <CL>ɛ́nɛ̀,kúkùŋú ágàgɛ́ lɛ́ŋcì óɾà ŋɛ́nɛ̀,4
4330,HH20210728,2690.922,1.235,0,kíɲâlɛ̀rɛ̀ kúɽì,tic,Himidan,kinalere kuri,"aux stab[CLG,IT,PFV,3PL.OBJ,1PL.EXCL.SBJ,aux] forest[NOM,SG]",ŋgá r kúɽì,kéɲâĺ_ŕɛ̀ kúɽì,4
4331,HH20210728,2647.76,2.289,0,kìɲálɛ̂rɛ̀ kúɽì,tic,Himidan,kinalere kuri,"buy/sell[CLG,IT,DEP] forest[NOM,SG]",ilɛð kúɽì,kìlɛ̀ðɛ̀ kúɽì,4
4332,HH20210728,2475.291,1.9649999999999999,0,kìɲálɛ̂rɛ́ kúɽì,tic,Himidan,kinalere kuri,"marry[CLG,VENT,PFV,1PL.INCL.OBJ] forest[NOM,SG]",ib kúɽì,kìbátɛ́ŕ kúɽì,4
4333,HH20210728,2190.674,2.198,0,kíɲâlɛ̀ɾɛ́ kúɽì,tic,Himidan,kinalere kuri,"aux[CLG,IPFV,WH.CLASS,3PL.OBJ,1PL.EXCL.SBJ] forest[NOM,SG]",ŋgá kúɽì,kéɲâĺgɛ́ kúɽì,4
3983,HH20220201,334.905,0.68,0,kárɔ́,tic,Himidan,karo,"say[CLG,VENT,PFV,left_h]",aɾ,káɾɔ́,4
3984,HH20211130,2906.775,0.55,0,kàró,tic,Himidan,karo,"break[VENT,IPFV]",kaɾ,kàɾó,4
3985,HH20220201,399.57,0.58,0,kárɔ̀,tic,Himidan,karo,"cart[NOM,SG]",kârɔ̀,kârɔ̀,4
3986,HH20210305,594.057,0.5,0,kárò,tic,Himidan,karo,"break[VENT,IPFV,left_h]",kaɾ,káɾó,4
2013,HH07242020-Zoom1,167.805,1.175,0,dòrì,tic,Himidan,dori,"climb.down[CLJ,IT,DEP]",ur,jùrì,4
2012,HH08072020,1484.078,0.918,0,dòɾǐ,tic,Himidan,dori,"mountain[NOM,SG]",dòɾè,dòɾè,4
2011,HH08072020,1180.966,1.088,0,dórì,tic,Himidan,dori,"climb.down[CLT̪,IT,DEP,left_h]",ur,t̪úrì,4
2010,HH07242020-Zoom1,171.937,1.404,0,dòɾì,tic,Himidan,dori,"mountain[NOM,SG]",dòɾè,dòɾè,4
1306,HH10012020,69.595,1.7000000000000002,0,ávə̀lɛ̀ðɛ́ɲáɾɛ̀ únɛ̀ɾɛ̀,tic,Himidan,av@ledenare unere,"pull[VENT,PFV,1PL.EXCL.OBJ,2SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,ávə̀lɛ̀ðɔ́éɲárɛ́ únɛ́ɾɛ́,4
1307,HH10012020,63.055,2.33,0,ávə̀lɛ̀ðɛ́ɲáɾɛ́ ùnɛ̀ɾɛ̀,tic,Himidan,av@ledenare unere,"pull[VENT,PFV,1PL.EXCL.OBJ,2SG.SBJ] yesterday[]",vəlɛð ùnɛ́ɾɛ́,ávə̀lɛ̀ðɔ́éɲárɛ́ ùnɛ́ɾɛ́,4
5214,HH20211026,881.357,1.29,0,lá ɜ́dí álɛ́ nd̪ɔ̀bà,tic,Himidan,la edi ale ndoba,"aux[CLL,IPFV] touch[VENT,IPFV,left_h] stone[ACC,SG] tomorrow[]",ŋgá ɜd âl nd̪ɔ̀bà,lá ɜ́dí álɛ́ nd̪ɔ̀bà,4
5215,HH20211026,837.847,1.8900000000000001,0,lá ɜ̀dí álɛ́ nd̪ɔ̀bà,tic,Himidan,la edi ale ndoba,"aux[CLL,IPFV] touch[VENT,IPFV] stone[ACC,SG] tomorrow[]",ŋgá ɜd âl nd̪ɔ̀bà,lá ɜ̀dí álɛ́ nd̪ɔ̀bà,4
5216,HH20211026,842.702,1.97,0,là ɜ̂dí álɛ́ nd̪ɔ̀bà,tic,Himidan,la edi ale ndoba,"aux[CLL,IT,PFV] touch[VENT,IPFV,left_h] stone[ACC,SG] tomorrow[]",ŋgá ɜd âl nd̪ɔ̀bà,là ɜ́dí álɛ́ nd̪ɔ̀bà,4
5217,HH20211026,883.432,1.33,0,lǎ ɜ̂dí álɛ́ nd̪ɔ̀bà,tic,Himidan,la edi ale ndoba,"aux[CLL,IPFV] touch[VENT,IPFV,left_h] stone[ACC,SG] tomorrow[]",ŋgá ɜd âl nd̪ɔ̀bà,lá ɜ́dí álɛ́ nd̪ɔ̀bà,4
9166,HH11042020-Zoom,793.997,1.7309999999999999,0,ùrnò kə̀və̀lɛ̀ðɔ́ ðáŋâlà,tic,Himidan,urno k@v@ledo dangala,"grandfather/grandchild[NOM,SG] pull[CLG,VENT,PFV] sheep[ACC,SG,left_h]",ùrnɔ̀ vəlɛð ðàŋàl,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðáŋàlà,4
9165,HH20210528,984.792,2.7,0,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðàŋàlǎ,tic,Himidan,urno k@v@ledo dangala,"grandfather/grandchild[NOM,SG] pull[CLG,VENT,PFV] sheep[ACC,SG]",ùrnɔ̀ vəlɛð ðàŋàl,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðàŋàlà,4
93,HH01222021,867.418,2.464,0,ágáŋîvə̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,tic,Himidan,agangiv@lede unere,"aux pull[CLG,IT,PFV,1SG.OBJ,2SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,ágàŋɛ̂_və̀lɛ̀ðɛ̀ ùnɛ́ɾɛ́,4
