index,eaf_text,fst_text,lemmata,gloss,num_eaf_variants
934,lə̀və̀lɛ̀ðɛ́ló únɛ́rɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
931,lə̀və̀lɛ̀ðɜ́ló únɛ̀rɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
1035,lálóvə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
1403,lə̀və̀lɛ̀ðɛ́lú únɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
935,lə̀və̀lɛ̀ðɛ́ló ûnɛ̀rɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
977,kə̀və̀lɛ̀ðɔ̂l ùnɛ̀ɾɛ̀,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",5
7296,èɽò ìclò,èɽò jìcə̀lò,r̀ɽò icəlo,"goat[NOM,PL] good[CLJ]",5
1380,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ̀rɛ̀,lɛ̀ĺ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",5
7295,jèɽò jìclò,èɽò jìcə̀lò,r̀ɽò icəlo,"goat[NOM,PL] good[CLJ]",5
7294,èɽǒ jìclò,èɽò jìcə̀lò,r̀ɽò icəlo,"goat[NOM,PL] good[CLJ]",5
730,ǎj íŋgád̪úrɔ̀ kə́nɔ́nà ìmìdánŋwɔ̀,àjú íŋgá d̪úɾɔ̀ kə́nɔ̀nà ìmìdánŋwɔ́,aj ŋgá d̪uɾ nɔn ìmìdán,"die[VENT,IPFV] aux stop[CLG,IT,IPFV,1SG.SBJ,aux] look[CLG,VENT,DEP,left_h] [ACC,SG]",5
729,ǎj íŋgád̪úrɔ̀ kə́nɔ́nà ìmìdánəŋò,àjú íŋgá d̪úɾɔ̀ kə́nɔ̀nà ìmìdánŋwɔ́,aj ŋgá d̪uɾ nɔn ìmìdán,"die[VENT,IPFV] aux stop[CLG,IT,IPFV,1SG.SBJ,aux] look[CLG,VENT,DEP,left_h] [ACC,SG]",5
728,ǎj íŋgád̪úrɔ̀ kə́nɔ́nà ìmìdánŋò,àjú íŋgá d̪úɾɔ̀ kə́nɔ̀nà ìmìdánŋwɔ́,aj ŋgá d̪uɾ nɔn ìmìdán,"die[VENT,IPFV] aux stop[CLG,IT,IPFV,1SG.SBJ,aux] look[CLG,VENT,DEP,left_h] [ACC,SG]",5
7728,èɽò jə̀cə̀lò,èɽò jìcə̀lò,r̀ɽò icəlo,"goat[NOM,PL] good[CLJ]",5
1413,lɜ̀lívə́lɛ̂ðɛ̀ ùnɛ̀ɾɛ̀,lɛ̀ĺ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",5
1336,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀̌,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",5
1399,lɛ̀lvə́lɛ̂ðɛ́ ùnɛ̀ɾɛ̀,lɛ̀ĺ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",5
1400,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ̀ɾɛ̀,lɛ̀ĺ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",5
731,ǎj íŋgádúrɔ̀ kə́nɔ́nà ìmìdánŋwɔ̀,àjú íŋgá d̪úɾɔ̀ kə́nɔ̀nà ìmìdánŋwɔ́,aj ŋgá d̪uɾ nɔn ìmìdán,"die[VENT,IPFV] aux stop[CLG,IT,IPFV,1SG.SBJ,aux] look[CLG,VENT,DEP,left_h] [ACC,SG]",5
733,ǎj íŋgádúrɔ̀ kə́nɔ́nǎ ìmìdánŋwɔ̀,àjú íŋgá d̪úɾɔ̀ kə́nɔ̀nà ìmìdánŋwɔ́,aj ŋgá d̪uɾ nɔn ìmìdán,"die[VENT,IPFV] aux stop[CLG,IT,IPFV,1SG.SBJ,aux] look[CLG,VENT,DEP,left_h] [ACC,SG]",5
1335,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀̀,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",5
955,kə̀və̀lɛ̀ðɔ̂l ùnɛ́rɛ̀,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",5
160,lɛ̀lvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,lɛ̀ĺ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",5
372,kə̀və̀lɛ̀ðɔ̂l ùnɛ́ɾɛ̀,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",5
7297,èɽǒ ìclò,èɽò jìcə̀lò,r̀ɽò icəlo,"goat[NOM,PL] good[CLJ]",5
8329,námál,námál,ámál,"young.man[NOM,PL]",4
636,jáŋǔ lárʊ̌ únɛ́ɾɛ̀,jáŋú láró únɛ́ɾɛ́,aŋ lárɔ́ ùnɛ́ɾɛ́,"see[CLJ,VENT,PFV,left_h] rock[ACC,SG] yesterday[left_h]",4
635,jáŋǔ lárǒ únɛ́ɾɛ̀,jáŋú láró únɛ́ɾɛ́,aŋ lárɔ́ ùnɛ́ɾɛ́,"see[CLJ,VENT,PFV,left_h] rock[ACC,SG] yesterday[left_h]",4
8313,ðàvə́lɛ̂ðɛ̌,ðà və́lɛ̀ðɛ̀,ŋgá vəlɛð,"aux pull[CLÐ,IT,PFV,aux]",4
1382,lɛ́lvə́lɛ̂ðɔ́ ndɔ̀bàgɛ̀,lɛ́ĺ və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,VENT,IPFV,3PL.OBJ,1SG.SBJ,aux] tomorrow[]",4
1416,lɜ́lívə́lɛ̂ðɔ́ ndɔ̀bàgɛ̀,lɛ́ĺ və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,VENT,IPFV,3PL.OBJ,1SG.SBJ,aux] tomorrow[]",4
633,jáŋú làró únɛ́ɾɛ̀,jáŋú láró únɛ́ɾɛ́,aŋ lárɔ́ ùnɛ́ɾɛ́,"see[CLJ,VENT,PFV,left_h] rock[ACC,SG] yesterday[left_h]",4
634,jáŋú láró únɛ́ɾɛ̀,jáŋú láró únɛ́ɾɛ́,aŋ lárɔ́ ùnɛ́ɾɛ́,"see[CLJ,VENT,PFV,left_h] rock[ACC,SG] yesterday[left_h]",4
7515,ábró t̪ə̀wànì,ábŕó t̪ɔ́wɜ̀nì,abr t̪ɔ́wɜ̀nì,"jump[IT,IMP] now[]",4
7516,ábró t̪àwànì,ábŕó t̪ɔ́wɜ̀nì,abr t̪ɔ́wɜ̀nì,"jump[IT,IMP] now[]",4
7518,ìrɔ́ jɛ̀cə̀lò,ìrɔ́ jìcə̀lò,dìjɔ́ icəlo,"cow[NOM,PL] good[CLJ]",4
1457,làŋə̀l və́lɛ̂ðɛ̌ ùnɛ́rɛ̀,làŋúl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,aŋ vəlɛð ùnɛ́ɾɛ́,"see[CLL,VENT,PFV,WH.LOCATIVE] pull[IT,PFV] yesterday[]",4
7519,ìrɔ́ jìcə̀lò,ìrɔ́ jìcə̀lò,dìjɔ́ icəlo,"cow[NOM,PL] good[CLJ]",4
1406,lə̀və̀lɛ̀ðálí únɛ̀rɛ̀,lə̀və̀lɛ̀ðɜ́l únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3SG.OBJ,3PL.SBJ] yesterday[left_h]",4
1404,lə̀və̀lɛ̀ðɛ́l únɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɜ́l únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3SG.OBJ,3PL.SBJ] yesterday[left_h]",4
1450,làŋə́l və́lɛ̂ðɛ̌ ùnɛ́rɛ̀,làŋúl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,aŋ vəlɛð ùnɛ́ɾɛ́,"see[CLL,VENT,PFV,WH.LOCATIVE] pull[IT,PFV] yesterday[]",4
1449,làŋə́l və́lɛ̂ðɛ̀ ùnɛ́rɛ̀,làŋúl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,aŋ vəlɛð ùnɛ́ɾɛ́,"see[CLL,VENT,PFV,WH.LOCATIVE] pull[IT,PFV] yesterday[]",4
7522,ábró t̪ɔ́wə̀nì,ábŕó t̪ɔ́wɜ̀nì,abr t̪ɔ́wɜ̀nì,"jump[IT,IMP] now[]",4
1459,làŋə̀l və́lɛ̂ðɛ̀ ùnɛ́rɛ̀,làŋúl və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,aŋ vəlɛð ùnɛ́ɾɛ́,"see[CLL,VENT,PFV,WH.LOCATIVE] pull[IT,PFV] yesterday[]",4
8314,ðàvə́lɛ̂ðɛ̀,ðà və́lɛ̀ðɛ̀,ŋgá vəlɛð,"aux pull[CLÐ,IT,PFV,aux]",4
8446,lárʊ̂,láró,lárɔ́,"rock[ACC,SG]",4
8443,dòɾǐ,dòɾè,dòɾè,"mountain[NOM,SG]",4
770,mùðù ŋgádíjɜ́ úɽì ɛ́ló àvàn,mùðù ŋgá íjɛ̀ úɽì ɛ́lɔ́ àvàn,mùðù ŋgá ij ðùɽì(1) ɛ́lɔ́(1) àvàn,"leopard[NOM,SG] aux beat[CLG,IT,PFV,aux,left_h] tree[NOM,PL,left_h] God[NOM,SG] very.much[]",4
768,mùðú ŋgádíjɜ̌ úɽì ɛ́ló àvàn,mùðù ŋgá íjɛ̀ úɽì ɛ́lɔ́ àvàn,mùðù ŋgá ij ðùɽì(1) ɛ́lɔ́(1) àvàn,"leopard[NOM,SG] aux beat[CLG,IT,PFV,aux,left_h] tree[NOM,PL,left_h] God[NOM,SG] very.much[]",4
767,mùðù ŋgádíjɜ̌ úɽǐ ɛ́ló àvàn,mùðù ŋgá íjɛ̀ úɽì ɛ́lɔ́ àvàn,mùðù ŋgá ij ðùɽì(1) ɛ́lɔ́(1) àvàn,"leopard[NOM,SG] aux beat[CLG,IT,PFV,aux,left_h] tree[NOM,PL,left_h] God[NOM,SG] very.much[]",4
7332,àrù kìcə̀lò,àɾò kìcə̀lò,àɾò icəlo,"sibling[NOM,SG] good[CLG]",4
294,ðàvə́lɛ̂ðɛ́ ùnɛ̀rɛ̀,ðà və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLÐ,IT,PFV,aux] yesterday[]",4
7282,dòɾì lìclò,dòɾè lìcə̀lò,dòɾè icəlo,"mountain[NOM,SG] good[CLL]",4
7541,sɔ̀ɽíŋgɔ́,sɔ̀ɽíŋgɔ́,sɔ̀ɽíŋgɔ́,"donkey.DIM[NOM,SG]",4
766,mùðù ŋgádíjɜ̀ úɽì ɛ̀ló àvàn,mùðù ŋgá íjɛ̀ úɽì ɛ́lɔ́ àvàn,mùðù ŋgá ij ðùɽì(1) ɛ́lɔ́(1) àvàn,"leopard[NOM,SG] aux beat[CLG,IT,PFV,aux,left_h] tree[NOM,PL,left_h] God[NOM,SG] very.much[]",4
8663,dòɾě,dòɾè,dòɾè,"mountain[NOM,SG]",4
8664,dòɾè,dòɾè,dòɾè,"mountain[NOM,SG]",4
1002,ŋgálvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,ŋgál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLG,IT,IPFV,3SG.OBJ,3SG.SBJ,aux] tomorrow[]",4
6526,ìrɔ́ð jìcə̀lò,ìrɔ́ jìcə̀lò,dìjɔ́ icəlo,"cow[NOM,PL] good[CLJ]",4
941,lə̀və̀lɛ̀ðálí únɛ́rɛ̀,lə̀və̀lɛ̀ðɜ́l únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3SG.OBJ,3PL.SBJ] yesterday[left_h]",4
942,lə̀və̀lɛ̀ðálí ûnɛ̀rɛ̀,lə̀və̀lɛ̀ðɜ́l únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3SG.OBJ,3PL.SBJ] yesterday[left_h]",4
928,lə̀və̀lɛ̀ðɜ̂lló,lə̀və̀lɛ̀ðɜ́lló,vəlɛð,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ]",4
7281,dòɾǐ lìclò,dòɾè lìcə̀lò,dòɾè icəlo,"mountain[NOM,SG] good[CLL]",4
8369,lárô,láró,lárɔ́,"rock[ACC,SG]",4
8759,nàmáð,námál,ámál,"young.man[NOM,PL]",4
8361,dòɾì,dòɾè,dòɾè,"mountain[NOM,SG]",4
7509,sɔ̀ɽíŋgɔ̀,sɔ̀ɽíŋgɔ́,sɔ̀ɽíŋgɔ́,"donkey.DIM[NOM,SG]",4
7508,sɔ̀ɽìŋgɔ́,sɔ̀ɽíŋgɔ́,sɔ̀ɽíŋgɔ́,"donkey.DIM[NOM,SG]",4
1365,ðàvə́lɛ̂ðɛ̀ ùnɛ̀ɾɛ̀,ðà və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLÐ,IT,PFV,aux] yesterday[]",4
1311,lə̀vlɛ̀ðɔ̂lló,lə̀və̀lɛ̀ðɜ́lló,vəlɛð,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ]",4
706,íŋgánɔ́nà kɜ́lùŋ,íŋgá nɔ́nà kɜ́lùŋú,ŋgá nɔn kɜ́lù,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] 5th born female child[ACC,SG]",4
1026,ŋgál̀və̀lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLG,IT,IPFV,3SG.OBJ,3SG.SBJ,aux] tomorrow[]",4
230,lɛ́lvə́lɛ̂ðɔ́ nd̪ɔ̀bàgɛ̀,lɛ́ĺ və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,VENT,IPFV,3PL.OBJ,1SG.SBJ,aux] tomorrow[]",4
704,íŋgánánà kɜ́lûŋ,íŋgá nɔ́nà kɜ́lùŋú,ŋgá nɔn kɜ́lù,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] 5th born female child[ACC,SG]",4
8758,nàmàð,námál,ámál,"young.man[NOM,PL]",4
8716,lárò,láró,lárɔ́,"rock[ACC,SG]",4
231,lɛ̌lvə́lɛ̂ðɔ́ nd̪ɔ̀bàgɛ̀,lɛ́ĺ və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,VENT,IPFV,3PL.OBJ,1SG.SBJ,aux] tomorrow[]",4
707,íŋgánɔ́nà kɜ́lúŋò,íŋgá nɔ́nà kɜ́lùŋú,ŋgá nɔn kɜ́lù,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] 5th born female child[ACC,SG]",4
7427,ìró jìcə̀lò,ìrɔ́ jìcə̀lò,dìjɔ́ icəlo,"cow[NOM,PL] good[CLJ]",4
1027,ŋgálvə̀lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLG,IT,IPFV,3SG.OBJ,3SG.SBJ,aux] tomorrow[]",4
1025,ŋgálvə̀lɛ̀ðǎ nd̪ɔ̀bàgɛ̀,ŋgál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLG,IT,IPFV,3SG.OBJ,3SG.SBJ,aux] tomorrow[]",4
705,íŋgánɔ́nà kɜ́lûŋ,íŋgá nɔ́nà kɜ́lùŋú,ŋgá nɔn kɜ́lù,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] 5th born female child[ACC,SG]",4
122,ðàŋvə́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,ðà və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,ŋgá vəlɛð ùnɛ́ɾɛ́,"aux pull[CLÐ,IT,PFV,aux] yesterday[]",4
1950,íŋgɛ́là jít̪ə́vɛ̌ ðàr,ŋgɛ́ĺ jə́t̪ə̀vɛ̀ ðár,ŋgá t̪əv ðár,"aux[CLG,IPFV,3PL.OBJ,1SG.SBJ] slice[CLJ,IT,DEP,left_h] rope[NOM,SG]",4
120,ðàŋvə́lɛ̂ðɛ̀,ðà və́lɛ̀ðɛ̀,ŋgá vəlɛð,"aux pull[CLÐ,IT,PFV,aux]",4
119,ðàŋvə́lɛ̂ðɛ̌,ðà və́lɛ̀ðɛ̀,ŋgá vəlɛð,"aux pull[CLÐ,IT,PFV,aux]",4
1930,íŋgɛ́là jít̪ə́vɛ̀ ðàr,ŋgɛ́ĺ jə́t̪ə̀vɛ̀ ðár,ŋgá t̪əv ðár,"aux[CLG,IPFV,3PL.OBJ,1SG.SBJ] slice[CLJ,IT,DEP,left_h] rope[NOM,SG]",4
1796,jɜ̀ŋci ápɾíɲâá ŋɛ́nɛ̀,jàŋcí ápɾíɲá ŋɛ́nɛ̀,aŋc àpɾí <CL>ɛ́nɛ̀,"show[CLJ,VENT,PFV] boy[ACC,SG,left_h] one[CLŊ]",4
1795,jɜ̀ŋcí ápríɲá ŋɛ́nɛ̀,jàŋcí ápɾíɲá ŋɛ́nɛ̀,aŋc àpɾí <CL>ɛ́nɛ̀,"show[CLJ,VENT,PFV] boy[ACC,SG,left_h] one[CLŊ]",4
1947,íŋgɛ́là ít̪ə́vɛ̀ ðàr,ŋgɛ́ĺ jə́t̪ə̀vɛ̀ ðár,ŋgá t̪əv ðár,"aux[CLG,IPFV,3PL.OBJ,1SG.SBJ] slice[CLJ,IT,DEP,left_h] rope[NOM,SG]",4
9226,námàl,námál,ámál,"young.man[NOM,PL]",4
1819,dòɾè lɛ̀cə̀lò,dòɾè lìcə̀lò,dòɾè icəlo,"mountain[NOM,SG] good[CLL]",4
2180,r̀màn rɔ̀là,rmàn rɔ̀là,ðə̀màn ɔla,"leg/foot[NOM,PL] tall[CLR]",4
2179,r̀mán rɔ̀là,rmàn rɔ̀là,ðə̀màn ɔla,"leg/foot[NOM,PL] tall[CLR]",4
7941,kúkù kǎpít̪ɔ̀ kákàŋú índɔ̀,kúkù kápìt̪ɔ̀ kákàŋú índɔ̀,kúkù ap-it̪ kákà ìndò,"1st born male child[NOM,SG] carry-ben[CLG,VENT,DEP,left_h] 1st born female child[ACC,SG] drum[ACC,SG,left_h]",4
1935,íŋgɛ́là jít̪ə́vɛ̀ ðár,ŋgɛ́ĺ jə́t̪ə̀vɛ̀ ðár,ŋgá t̪əv ðár,"aux[CLG,IPFV,3PL.OBJ,1SG.SBJ] slice[CLJ,IT,DEP,left_h] rope[NOM,SG]",4
2162,rr̀mán rɔ̀là,rmàn rɔ̀là,ðə̀màn ɔla,"leg/foot[NOM,PL] tall[CLR]",4
1711,lʊ̀tʊ̌ lìcə̀lò,lʊ̀tú lìcə̀lò,lʊ̀tú icəlo,"fist/hut[NOM,SG] good[CLL]",4
1710,lʊ̀tʊ́ lìcə̀lò,lʊ̀tú lìcə̀lò,lʊ̀tú icəlo,"fist/hut[NOM,SG] good[CLL]",4
1709,lʊ̀tʊ̂ʊ́ lìcə̀lò,lʊ̀tú lìcə̀lò,lʊ̀tú icəlo,"fist/hut[NOM,SG] good[CLL]",4
7946,kúkù kǎpɜ́ìt̪ɔ̀ kákàŋú índɔ̀,kúkù kápìt̪ɔ̀ kákàŋú índɔ̀,kúkù ap-it̪ kákà ìndò,"1st born male child[NOM,SG] carry-ben[CLG,VENT,DEP,left_h] 1st born female child[ACC,SG] drum[ACC,SG,left_h]",4
59,jíŋgávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ̀,íŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,ŋgá vəlɛð ðàŋàl ùnɛ́ɾɛ́,"aux pull[CLG,IT,PFV,1SG.SBJ,aux] sheep[ACC,SG] yesterday[]",4
