keyword,keyword_id,sentence_id,translation,original_sentence,textnorm_sentence,audionorm_sentence,audio_quality,missing_speech,extra_speech,mistranscription,comment
ðɔ̀mɔ̀cɔ̀,,13639,They will go to count sheep tomorrow.,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,13133,They went to take water from the ground yesterday,làɾɛ́ ðə́gɔ̀cɔ̀ ŋávɛ́ d̪úd̪ɔ̀ ùnɛ̀ɾɛ̀,láɾɛ́ ðə́gɔ̀cɔ̀ ŋávɛ́ d̪úd̪ɔ̀ ùnɛ́ɾɛ́,láɾɛ́ ðə́gɔ̀cɔ̀ ŋávɛ́ d̪úd̪ɔ̀ ùnɛ́ɾɛ́,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,10820,The men will pull the sheep (towards),rɔ̀mɔ̀cɔ̀ rávə̀lɛ̀ðó ðáŋàlà,rɔ̀mɔ̀cɔ̀ rá_və̀lɛ̀ðɔ́ ðáŋàlà,rɔ̀mɔ̀cɔ̀ rá_və̀lɛ̀ðɔ́ ðáŋàlà,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,11655,the men wrestled each other yesterday OR the men wrestled,rɔ̀mɔ̀cɔ̀ rə̀bùlú,rɔ̀mɔ̀cɔ̀ rə̀bùlú,rɔ̀mɔ̀cɔ̀ rə̀bùlú,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,3298,woman waited for the man  (she is far away?),èmàɽðén kə̀rŋìt̪ɔ́ ðɔ́mɔ̀cà,èmàɽðɛ́n kə̀rŋìt̪ú ðɔ́mɔ̀cà,èmàɽðɛ́n kə̀rŋìt̪ú ðɔ́mɔ̀cà,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,4727,They wrestled the man yesterday,lɛ̀bùlìjí ðɔ́mɔ́cà ùnɛ̀rɛ̀,lə̀bùlìjí ðɔ́mɔ̀cà ùnɛ́ɾɛ́,lə̀bùlìjí ðɔ́mɔ̀cà ùnɛ́ɾɛ́,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,5037,I broke the man's elbow,jɛ̀gáɾàt̪ɔ́ ðɔ́mɔ̀cà lòlá,jɛ́gàɾàt̪ɔ́ ðɔ́mɔ̀cà lòlá,jɛ́gàɾàt̪ɔ́ ðɔ́mɔ̀cà lòlá,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,4506,I'm going to see the men tomorrow,íŋgɛ́lá ínɔ̂nɛ̀ rɔ̀mɔ̀cà nd̪ɔ̀bà,íŋgɛ́lá ínɔ́nɛ̀ rɔ̀mɔ̀cà nd̪ɔ̀bà,íŋgɛ́lá ínɔ́nɛ̀ rɔ̀mɔ̀cà nd̪ɔ̀bà,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,18210,Take the food from the men now! (malefactive),kɛ́cɛ́cí rɔ̀mɔ̀cà ŋɔ̀mɔ̀ t̪ɔ́wə̀nì,kɛ́cɛ́cí rɔ̀mɔ̀cà ŋɔ̀mɔ̀ t̪ɔ́wɜ̀nì,kɛ́cɛ́cí rɔ̀mɔ̀cà ŋɔ̀mɔ̀ t̪ɔ́wɜ̀nì,3.0,False,False,False,
ðɔ̀mɔ̀cɔ̀,,5254,Give the men a gourd,àpìt̪ɔ́ rɔ̀mɔ̀cà ðɔ̀ndà,àpìt̪ɔ́ rɔ̀mɔ̀cà ðɔ̀ndà,àpìt̪ɔ́ rɔ̀mɔ̀cà ðɔ̀ndà,3.0,False,False,False,
lɛ́ŋgɛ́n,,12172,His mothers are good,lɛ́lɛ́n lìcə̀lò,lɛ́lɛ́n lìcə̀lò,lɛ́lɛ́n lìcə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,11802,their brother is good,àɾò ɛ́gɛ́n kícə̀lù,àɾò ɛ́gɛ́n kícə̀lò,àɾò ɛ́gɛ́n kícə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,11908,their uncle is good,ɛ́dɛ́rɛ́n ɛ́gɛ́n kìcə̀lò,íd̪ɛ́rɛ́n ɛ́gɛ́n kìcə̀lò,íd̪ɛ́rɛ́n ɛ́gɛ́n kìcə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,3632,My mother is tall,lɛ́ŋgáj kɔ̀là,lɛ́ŋgáj kɔ̀là,lɛ́ŋgáj kɔ̀là,3.0,False,False,False,
lɛ́ŋgɛ́n,,12139,our (excl) mother is good,lɛ́ŋgáí kìcə̀lò,lɛ́ŋgáj kìcə̀lò,lɛ́ŋgáj kìcə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,11102,I cooked soup for mom,jɛ́ɾɔ̀ðìt̪ɔ́ lɛ́ŋgáj ŋúcɔ̀,jɛ́ɾɔ̀ðìt̪ɔ́ lɛ́ŋgáj ŋúcɔ́,jɛ́ɾɔ̀ðìt̪ɔ́ lɛ́ŋgáj ŋúcɔ́,3.0,False,False,False,
lɛ́ŋgɛ́n,,1767,Sound is good,ðɛ́ŋɛ́n ðìcə̀lò,ðɛ́ŋɛ́n ðìcə̀lò,ðɛ́ŋɛ́n ðìcə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,7823,"I will see the egg.
",íŋgánɔ̀nà lɛ́ɲɛ̀,íŋgá_nɔ́nà lɛ́ɲɛ́,íŋgá_nɔ́nà lɛ́ɲɛ́,3.0,False,False,False,
lɛ́ŋgɛ́n,,12140,our (excl) mother is good,lɛ́ŋgáí ɛ́gàí kìcə̀lò,lɛ́ŋgáj ɛ́gǎj kìcə̀lò,lɛ́ŋgáj ɛ́gǎj kìcə̀lò,3.0,False,False,False,
lɛ́ŋgɛ́n,,1771,Sounds are good,kàðɛ́ŋɛ́n lìcə̀lò,kàðɛ́ŋɛ́n lìcə̀lò,kàðɛ́ŋɛ́n lìcə̀lò,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4625,the donkeys are good,ɲàɽíŋgɔ́ ɲìcə̀lò,ɲɔ̀ɽíŋgɔ́ ɲìcə̀lò,ɲɔ̀ɽíŋgɔ́ ɲìcə̀lò,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4626,he will see the donkeys tomorrow ,ŋ̀gánɔ̂nà ɲàɽíŋgɔ́ nd̪ɔ̀bá,ŋ̀gánɔ̂nà ɲɔ̀ɽíŋgɔ́ nd̪ɔ̀bá,ŋ̀gánɔ̂nà ɲɔ̀ɽíŋgɔ́ nd̪ɔ̀bá,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4632,he wants to see donkeys,ŋ̀gád̪úrǒ kɛ́nɔ̂nà ɲàɽíŋgɔ̀,ŋgá_d̪úɾɔ̀ kə́nɔ̀nà ɲɔ̀ɽíŋgɔ́,ŋgá_d̪úɾɔ̀ kə́nɔ̀nà ɲɔ̀ɽíŋgɔ́,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4616,the donkey is nice,sɔ̀ɽíŋgɔ́ sìcə̀lò,sɔ̀ɽíŋgɔ́ sìcə̀lò,sɔ̀ɽíŋgɔ́ sìcə̀lò,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4620,he will see the donkey tomorrow,ŋgánɔ̂nǎ sɔ̀ɽíŋgɔ́ nd̪ɔ̀bà,ŋgá_nɔ́nà sɔ̀ɽíŋgɔ́ nd̪ɔ̀bà,ŋgá_nɔ́nà sɔ̀ɽíŋgɔ́ nd̪ɔ̀bà,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,4639,Parts of: small donkey is breastfed like a calf,sɔ̀ɽíŋgɔ́ sádàn sáðúɽà,sɔ̀ɽíŋgɔ́ sádàn sáðúɽà,sɔ̀ɽíŋgɔ́ sádàn sáðúɽà,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,5098,The donkeys are big.,ɲɔ̀ɽíŋgɔ́ ɲə̀ɽà,ɲɔ̀ɽíŋgɔ́ ɲə̀ɽà,ɲɔ̀ɽíŋgɔ́ ɲə̀ɽà,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,16883,ride the donkey,ábŕtɔ́ sàɽíŋgɔ̀,ábŕt̪ɔ́ sɔ̀ɽíŋgɔ́,ábŕt̪ɔ́ sɔ̀ɽíŋgɔ́,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,16889,small small,sɔ̀ɽíŋgɔ́ sátàɽán,sɔ̀ɽíŋgɔ́ sátàɽán,sɔ̀ɽíŋgɔ́ sátàɽán,3.0,False,False,False,
ŋɔ̀ɽíŋgɔ́,,19433,small donkey likes milk a lot,sɔ̀ɽíŋgɔ́ sátáɽàn sɛ́ sàmìɲí ŋán ávàn,sɔ̀ɽíŋgɔ́ sátáɽàn sɛ́ sàmìɲí ŋán ávàn,sɔ̀ɽíŋgɔ́ sátáɽàn sɛ́ sàmìɲí ŋán ávàn,3.0,False,False,False,
mùðù,,8289,farmer feared the leopard yesterday,ɛ̀làɽà kə̀ðìɲɔ́ múðɔ̌ ùnɛ̀rɛ̀,ɛ̀làɽà kə̀ðìɲɔ́ múðɔ̀ ùnɛ́ɾɛ́,ɛ̀làɽà kə̀ðìɲɔ́ múðɔ̀ ùnɛ́ɾɛ́,3.0,False,False,False,
mùðù,,8334,Who is afraid of the leopard? ,àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðɔ̀,àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðù,àn ɔ́ɟɔ́ kə́ðìɲɔ́ múðɔ̀,3.0,False,False,False,
mùðù,,5928,The gazelles are good,nùðɛ́ nìcə̀lò,nùðɛ̀ nìcə̀lò,nùðɛ̀ nìcə̀lò,3.0,False,False,False,
mùðù,,11213,I'm going to see the deer (pl) tomorrow,íŋgánɔ̂nà nòðɛ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà nùðɛ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà nùðɛ̀ nd̪ɔ̀bà,3.0,False,False,False,
mùðù,,8856,The bones are long,ŋùðì ŋɔ̀là,ŋùðì ŋɔ̀là,ŋùðì ŋɔ̀là,3.0,False,False,False,
mùðù,,4107,I laughed,jɛ́ûrmùðɔ̀,jɛ́ùrmùðɔ́,jɛ́ùrmùðɔ́,3.0,False,False,False,
mùðù,,3603,Grandfather laughed,ùrnɔ̀ kɔ̀rmùðɔ̀,ùrnɔ̀ kùrmùðɔ̀,ùrnɔ̀ kùrmùðɔ̀,3.0,False,False,False,
mùðù,,8313,The farmer will fear the leopard tomorrow,ɛ̀làɽà káðíɲɔ̀ mùðɔ̀ nd̪ɔ̀bà,ɛ̀làɽà kə́ðìɲɔ̀ mùðɔ̀ nd̪ɔ̀bà,ɛ̀làɽà kə́ðìɲɔ̀ mùðɔ̀ nd̪ɔ̀bà,3.0,False,False,False,
mùðù,,4109,grandpa said he laughed,ùrnɔ̀ kàrɔ́ jɛ́ûrmùðɔ̀,ùrnɔ̀ kàɾɔ́ jɛ́ùrmùðɔ́,ùrnɔ̀ kàɾɔ́ jɛ́ùrmùðɔ́,3.0,False,False,False,
mùðù,,4105,Grandpa said that the boy laughed,ùrnɔ̀ kàró àpɾí jɜ́ùrmùðɔ̀,ùrnɔ̀ kàɾó àpɾí jɛ́ùrmùðɔ́,[yeah] ùrnɔ̀ kàɾó àpɾí jɛ́ùrmùðɔ́,3.0,False,False,False,
ùɾnɔ̀,,994,What did the grandchildren say the dog chased away?,àń ɔ́ndì kárgɛ́ lúrnɔ̀ kà ŋɛ́n ŕlɛ̂ɲì,àn ɔ́ndì káɾɔ́gɛ́ lúrnɔ̀ kà ŋɛ́n ŕlɛ̀ɲì,àn ɔ́ndì káɾɔ́gɛ́ lúrnɔ̀ kà ŋɛ́n ŕlɛ̀ɲì,3.0,False,False,False,
ùɾnɔ̀,,5698,The grandchildren swept the floor,lùrnɔ̀ lə̀vràðɔ́ ðúdò,lùrnɔ̀ lə̀vɾàðɔ́ ðúdɔ̀,lùrnɔ̀ lə̀vɾàðɔ́ ðúdɔ̀,3.0,False,False,False,
ùɾnɔ̀,,5728,The grandchildren sold the cow,lùrnɔ̀ lìlɔ̀ðɔ́ díjò,lùrnɔ̀ lìlɔ̀ðɔ́ díjɔ́,lùrnɔ̀ lìlɔ̀ðɔ́ díjɔ́,3.0,False,False,False,
ùɾnɔ̀,,5785,grandchildren will blow it (the candle) tomorrow,lá lúrnɔ̀ ùd̪ɔ̀ nd̪ɔ̀bà,lá lúrnɔ̀ ùd̪ɔ́ nd̪ɔ̀bà,lá lúrnɔ̀ ùd̪ɔ́ nd̪ɔ̀bà,3.0,False,False,False,
ùɾnɔ̀,,6789,The grandchildren climbed up yesterday (speaker on the ground),lùrnɔ̀ lǎbút̪ɛ̀ ùnɛ̀ɾɛ̀,lùrnɔ̀ lábòt̪ɛ̀ ùnɛ́ɾɛ́,lùrnɔ̀ lábòt̪ɛ̀ ùnɛ́ɾɛ́,3.0,False,False,False,
ùɾnɔ̀,,8049,the granchildren rested yesterday,lùrnɔ̀ làŋɔ̀ŋnɔ́ ùnɛ̀ɾɛ̀,lùrnɔ̀ làŋìŋnú ùnɛ́ɾɛ́,lùrnɔ̀ làŋìŋnú ùnɛ́ɾɛ́,3.0,False,False,False,
ùɾnɔ̀,,2803,What's your name?,ìrí ɛ́gɔ́ kɔ̀rnɔ́ ɔ́ɟɔ̀,ìrí ɛ́gɔ́ kɔ̀rnɔ́ ɔ́ɟɔ̀,ìrí ìrí ɛ́gɔ́ kɔ̀rnɔ́ ɔ́ɟɔ̀,3.0,False,False,False,
ùɾnɔ̀,,2819,I am called Himidan,jɔ̂rnɔ́ ímìdân,jɔ́r̀nɔ́ ímìdán,jɔ́r̀nɔ́ ímìdán,3.0,False,False,False,
ùɾnɔ̀,,2811,You're called what?,ɔ̂rnɔ̀ ɔ́ɟɔ̀,ɔ̀rnɔ́ ɔ́ɟɔ̀,ɔ̀rnɔ́ ɔ́ɟɔ̀,3.0,False,False,False,
ùɾnɔ̀,,2812,What are your names?,ndrí ɛ́nɔ́ nɔ̀rnɔ́ ɔ́ɟɔ̀,ndrí ɛ́nɔ́ nɔ̀rnɔ́ ɔ́ɟɔ̀,ndrí ɛ́nɔ́ nɔ̀rnɔ́ ɔ́ɟɔ̀,3.0,False,False,False,
ðàŋàl,,8938,The chickens pulled the sheep (PL) yesterday (towards),jàŋàl jə̀və̀lɛ̀ðɔ́l lâɾù ùnɛ̀ɾɛ̀,jàŋàl jə̀və̀lɛ̀ðɔ́l lâɾò ùnɛ́ɾɛ́,jàŋàl jə̀və̀lɛ̀ðɔ́l lâɾò ùnɛ́ɾɛ́,3.0,False,False,False,
ðàŋàl,,13640,They will go to count sheep tomorrow.,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,lɛ́là ðúmɔ̀ðɔ̀ jàŋàlà nd̪ɔ̀bà,3.0,False,False,False,
ðàŋàl,,13635,He ate food and counted sheep yesterday (far).,kìjɔ́ ŋɔ́mɔ̀ nɛ̀ ŋúmɔ̀ðɔ̀ jàŋàlà unɛɾɛ,kìjɔ́ ŋɔ́mɔ̀ nɛ̀ ŋúmɔ̀ðɔ̀ jàŋàlà únɛ́ɾɛ́,kìjɔ́ ŋɔ́mɔ̀ nɛ̀ ŋúmɔ̀ðɔ̀ jàŋàlà únɛ́ɾɛ́,3.0,False,False,False,
ðàŋàl,,8936,The chickens pulled the sheep (PL) yesterday (towards),lâɾù lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ̀ɾɛ̀,lâɾò lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ́ɾɛ́,lâɾò lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ́ɾɛ́,3.0,False,False,False,
ðàŋàl,,13636,Counting sheep is good.,ðúmɔ́ðɔ́ jáŋàlà ðìcə̀lò,ðúmɔ́ðɔ́ jáŋàlà ðìcə̀lò,ðúmɔ́ðɔ́ jáŋàlà ðìcə̀lò,3.0,False,False,False,
ðàŋàl,,9003,The monkeys pulled the sheep (PL) yesterday (towards),ltuwɛ́l lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ̀ɾɛ̀,lótùwɛ́l lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ́ɾɛ́,lótùwɛ́l lə̀və̀lɛ̀ðɔ́ jáŋàlà ùnɛ́ɾɛ́,3.0,False,False,False,
ðàŋàl,,13499,They will go to see a star tomorrow,lɛ́là ðáŋà ðàbà nd̪ɔ̀bà,lɛ́là ðáŋà ðàbà nd̪ɔ̀bà,lɛ́là ðáŋà ðàbà nd̪ɔ̀bà,3.0,False,False,False,
ðàŋàl,,385,We excl. pulled you (sg) here,ɲàvə̀lɛ̀ðáŋà,ɲàvə̀lɛ̀ðáŋà,ɲàvə̀lɛ̀ðáŋà,3.0,False,False,False,
ðàŋàl,,2650,the shepherd is you today,ìjɔ̀ ánàŋá cátà,ìjɔ̀ ánàŋá cát̪á,ðúmɔ́ðɔ́ jáŋàlà ðìcə̀lò,3.0,False,False,False,
ðàŋàl,,2664,you were a shepherd last year,ávé ànàŋá íjɔ̀ ùlùŋǔ,ávé ànàŋá íjɔ̀ ùlùŋú,ávé ànàŋá íjɔ̀ ùlùŋú,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,845,He/it pulled him here yesterday,kə̀və̀lɛ̀ðɔ́ŋ unɛɾɛ,kə̀və̀lɛ̀ðɔ́ŋ únɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́ŋ únɛ́ɾɛ́,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,88,When did the boy pull it (sheep) (towards)?,án ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ áprì,àn ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ ápɾí,àn ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ ápɾí,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,3481,He keeps pulling the sheep (towards),kàðə́və̀rlɛ̀ðó ðáŋàlà,kà_ðə́və̀rlɛ̀ðɔ́ ðáŋàlà,kà_ðə́və̀rlɛ̀ðɔ́ ðáŋàlà,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,56,Who pulled them (sheep) towards? ,án ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ̀l,àn ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ́l,àn ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ́l,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,222,The sheep pulled it (the dog) (towards),ŋə̀və̀lɛ̀ðɔ́ ðáŋàl,ŋə̀və̀lɛ̀ðɔ́ ðáŋàl,[yeah] ŋə̀və̀lɛ̀ðɔ́ ðáŋàl,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,9042,The hare pulled the sheep (SG) yesterday (towards),ŋìðɛ̀ní ŋə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ̀ɾɛ̀,ŋìðɛ̀ní ŋə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ́ɾɛ́,ŋìðɛ̀ní ŋə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ́ɾɛ́,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,15707,the male goat pulled the sheep (towards),ŋɔ́ðɔ́ ŋə̀və̀lɛ̀ðɔ́ ðáŋàlàùnɛ́rɛ̂,ŋɔ́ðɔ́ ŋə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ́rɛ́,ŋɔ́ðɔ́ ŋə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ́rɛ́,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,15789,The porcupines pulled the root towards yesterday,nòn nə̀və̀lɛ̀ðɔ́ ðɛ́dɔ̀ɽɔ̀ unɛɾɛ,nùn nə̀və̀lɛ̀ðɔ́ ðɛ́dɔ̀ɽɔ́ únɛ́ɾɛ́,nùn nə̀və̀lɛ̀ðɔ́ ðɛ́dɔ̀ɽɔ́ únɛ́ɾɛ́,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,57,Who pulled them (sheep) towards? ,jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ̂,jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ́,jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ́,3.0,False,False,False,
kə̀və̀lɛ̀ðɔ́,,10073,The grandchildren will have pulled them (roots) (towards) when I arrive,járà jə̀və̀lɛ̀ðɔ́l lúrnɔ̀ án jít̪ɔ̀,járà jə̀və̀lɛ̀ðɔ́l lúrnɔ̀ àn jít̪ɔ̀,járà jə̀və̀lɛ̀ðɔ́l lúrnɔ̀ àn jít̪ɔ̀,3.0,False,False,False,
kàŋú,,4125,who said that he saw it?,t̪àrɔ́t̪ɛ́ ɔ́ɟɔ́ kàŋǒŋ,t̪àɾɔ́t̪ɛ́ ɔ́ɟɔ́ kàŋúŋ,t̪àɾɔ́t̪ɛ́ ɔ́ɟɔ́ kàŋúŋ,3.0,False,False,False,
kàŋú,,11316,Kuku will see Kaka in the field,kúkù kǎŋt̪à kákàŋú nɛ̀ lə̀və̀r,kúkù káŋt̪à kákàŋú nɛ̀ lə̀və́r,kúkù káŋt̪à kákàŋú nɛ̀ lə̀və́r,3.0,False,False,False,
kàŋú,,11371,Kuku will show Kaka a dog,kúkù kɜ̌ŋcɔ̀ kákàŋú ŋɛ́nɛ̀,kúkù kɜ́ŋcɔ̀ kákàŋú ŋɛ́nɛ̀,kúkù kɜ́ŋcɔ̀ kákàŋú ŋɛ́nɛ̀,3.0,False,False,False,
kàŋú,,11405,Kuku will keep quiet for Kaka,kúkù ŋgáɾŋít̪ɔ̀ kákàŋù,kúkù ŋgáɾŋít̪ɔ̀ kákàŋú,kúkù ŋgáɾŋít̪ɔ̀ kákàŋú,3.0,False,False,False,
kàŋú,,11659,Kuku opened the door for Kaka,kúkù ŋgìt̪ɔ́ kákàŋú áwùɾ,kúkù ŋgìt̪ɔ́ kákàŋú áùr,kúkù ŋgìt̪ɔ́ kákàŋú áùr,3.0,False,False,False,
kàŋú,,11707,Kuku made Kaka braid (someone's) hair,kúkù ŋgɔ̀t̪ìjí kákàŋú íɾó íjùn,kúkù ŋgɔ̀t̪ìjí kákàŋú íɾɔ́ íjùn,kúkù ŋgɔ̀t̪ìjí kákàŋú íɾɔ́,3.0,True,False,False,
kàŋú,,14867,He helped him yesterday and left,kàŋ ɔ́ɽɟɛ̀cì ánó unɛɾɛ,kàŋ ɔ́ɽɟɛ̀cì ánó ùnɛ́ɾɛ́,kàŋ ɔ́ɽɟɛ̀cì ánó ùnɛ́ɾɛ́,3.0,False,False,False,
kàŋú,,1428,I saw water yesterday,jàŋó ŋávè ùnɛ̀rè,jàŋú ŋávɛ́ ùnɛ́ɾɛ́,jàŋú ŋávɛ́ ùnɛ́ɾɛ́,3.0,False,False,False,
kàŋú,,1657,I saw the girl yesterday,jàŋɔ́ èd̪ɛ̀ɾ á ùnɛ̀rè,jàŋú èd̪ɛ̀ɾá ùnɛ́ɾɛ́,jàŋú èd̪ɛ̀ɾá ùnɛ́ɾɛ́,3.0,False,False,False,
kàŋú,,1753,I saw the cow yesterday,jàŋò dijo ùnɛ̀rɛ̀,jàŋú díjɔ́ ùnɛ́ɾɛ́,jàŋú díjɔ́ ùnɛ́ɾɛ́,3.0,False,False,False,
íŋgá_nɔ̀nà,,2198,If there are no herbs I will swallow/take medicine,án ìdɜ̀ɽì kèró íŋgárnà ɲiroba,án ìdɜ̀ɽì kèró íŋgárnà ŋrɔ́bà,án ìdɜ̀ɽì kèró íŋgárnà ŋrɔ́bà,3.0,False,False,False,
