keyword,keyword_id,sentence_id,translation,original_sentence,textnorm_sentence,audionorm_sentence,audio_quality,comment
ùɾnɔ̀,,3336,Grandfather wrestled the boy,ùrnɔ̀ kə̀bùlìjí ápríɲâ,ùrnɔ̀ kə̀bùlìjí ápɾíɲá,,,
ùɾnɔ̀,,3442,Grandfather told me the lion ate the boy,ùrnɔ̀ kàrt̪íŋì t̪òlé tìjó ápríɲâ,ùrnɔ̀ kàrt̪íŋì t̪òlé t̪ìjɔ́ ápɾíɲá,,,
ùɾnɔ̀,,3605,Grandfather laughed,ùrnɔ̀ kɔ̀rmùðɔ̀,ùrnɔ̀ kùrmùðɔ̀,,,
ùɾnɔ̀,,3734,The grandfather gave the boy to Kuku,ùrnɔ̀ ŋàcí ápríɲá kúkùŋ,ùrnɔ̀ ŋàcí ápɾíɲá kúkùŋú,,,
ùɾnɔ̀,,20241,the boy grandpa said the lion bit is small,àpɾí jáɾó jɛ́ ùɾnɔ̀ t̪á jàmə̀ɾðɔ́ t̪ʊ̀lí jɛ̀tàn,àpɾí jáɾɔ́jɛ́ ùrnɔ̀ t̪á jə̀mɛ̀ɾðɔ́ t̪òlé jìtàn,,,
ðàŋàl,,779,The sheep pulled the person away,ðàŋàl ðàvə́lɛ̂ðɛ̀ ùɟì,ðàŋàl ðà_və́lɛ̀ðɛ̀ ùɟí,,,
ðàŋàl,,15713,it's the male goat that the sheep watched (far) yesterday,àn ŋɔ́ðɛ́ ŋɔ́ nɔ́nɛ̀ ðàŋàl únɛ́rɛ̂,àn ŋɔ́ðɛ́ ŋɔ́ nɔ́nɛ̀ ðàŋàl ùnɛ́rɛ́,,,
ðàŋàl,,15642,Sheep bit boy,ðàŋàl ðàmɔ̀rðɔ́ ápríɲâ,ðàŋàl ðə̀mɛ̀rðɔ́ ápɾíɲá,,,
ðàŋàl,,13241,The lion is pulling the sheep towards now.,ðàŋàl ðà t̪ólé ðə́və̀lɛ̀ðɔ́ t̪ɔ́wə̀nì,ðàŋàl ðà t̪ólé ðə́və̀lɛ̀ðɔ́ t̪ɔ́wɜ̀nì,,,
ðàŋàl,,13207,That sheep (out of sight) was big.,ðàŋàl ðɔ̂n ðə̀ɽà,ðàŋàl ðɔ̂n ðə̀ɽà,,,
ðàŋàl,,13098,The sheep is pulling the boy away now,ðàŋàl ðàðə́və̀lɛ̀ðà àpríɲá t̪ɔ́wə̀nì,ðàŋàl ðà_ðə́və̀lɛ̀ðà àpɾíɲá t̪ɔ́wɜ̀nì,,,
ðàŋàl,,8361,the sheep is in the pen (proximal),ðàŋàl ðá ðɜ́rìbì,ðàŋàl ðá ðɜ́ríbì,,,
ðàŋàl,,1832,The sheep is good,ðàŋàl ðìcə̀lò,ðàŋàl ðìcə̀lò,,,
ðàŋàl,,797,The sheep will pull the boy away.,ðàŋàl ðǎvə́lɛ̂ðà àpɾíɲâ,ðàŋàl ðá_və́lɛ̀ðà àpɾíɲá,,,
ðàŋàl,,8359,the sheep is in the pen (distal),ðàŋàl ðów ðɜ́rîbì,ðàŋàl ðóẁ ðɜ́ríbì,,,
kə̀və̀lɛ̀ðɔ́,,712,S/he pulled the sheep here,kə̀və̀lɛ̀ðɔ́ ðáŋàlà,kə̀və̀lɛ̀ðɔ́ ðáŋàlà,,,
kə̀və̀lɛ̀ðɔ́,,1827,My grandfather/grandmother pulled the sheep here,ùrnàŋgèí kə̀və̀lɛ̀ðɔ́ ðáŋâlà,ùrnɛ̀ŋgɛ́j kə̀və̀lɛ̀ðɔ́ ðáŋàlà,,,
kə̀və̀lɛ̀ðɔ́,,2168,grandfather pulled sheep yesterday,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ̀rɛ̀,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðáŋàlà ùnɛ́ɾɛ́,,,
kə̀və̀lɛ̀ðɔ́,,8475,He had pulled the roots (here) when I arrived,kə̀vé kə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ nɛ́ t̪ìmíŋì,kə̀vé kə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ nɛ́ t̪ìmíŋì,,,
kə̀və̀lɛ̀ðɔ́,,2240,Who pulled the sheep?,àn ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ́ ðáŋàlà,àn ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ́ ðáŋàlà,,,
kə̀və̀lɛ̀ðɔ́,,2247,"No, it was not grandfather who pulled it.",àn úrnǒ kə́və̀lɛ̀ðɔ́ dè,àn úrnɔ̀ kə́və̀lɛ̀ðɔ́ dɛ̀,,,
kə̀və̀lɛ̀ðɔ́,,2255,"It was not grandfather who pulled the sheep, it was mother",àn úrnò kə́və̀lɛ̀ðɔ́ ðáŋâlà dě ǎn ájà,àn úrnɔ̀ kə́və̀lɛ̀ðɔ́ ðáŋàlà dɛ̀ àn ájà,,,
kə̀və̀lɛ̀ðɔ́,,692,The person pulled the sheep here.,ùɟí kə̀vlɛ̀ðɔ́ ðáŋàlà,ùɟí kə̀və̀lɛ̀ðɔ́ ðáŋàlà,,,
kə̀və̀lɛ̀ðɔ́,,29,Who pulled it (sheep or something else) towards? ,án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,àn ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ́,,,
kə̀və̀lɛ̀ðɔ́,,8445,He pulled the roots yesterday,kàvɛ̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ̀ɾɛ̀,kə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ ùnɛ́ɾɛ́,,,
kàŋú,,1136,he saw a hyena yesterday,kàŋʊ́ ðálə́gàrâǰ ùnɛ̀rɛ̀,kàŋú ðálgàrâj ùnɛ́ɾɛ́,,,
kàŋú,,1667,the girl saw him/her yesterday,kàŋɔ́ éd̪ɛ̀rɛ́ ùnɛ̀rɛ̀,kàŋú éd̪ɛ̀ɾɛ́ ùnɛ́ɾɛ́,,,
kàŋú,,2409,s/he saw hoe,kàŋɔ́ ìlɛ́ðɛ́,kàŋú ìlɛ́ðɛ́,,,
kàŋú,,3956,Kuku saw the lion in the field,kúkù kàŋú t̪ólèɲâá nɛ̀ lə̀və̀r,kúkù kàŋú t̪ólèɲá nɛ̀ lə̀və́r,,,
kàŋú,,3964,Kuku saw the lion there (the field),kúkù kàŋú t̪ólèɲà jû,kúkù kàŋú t̪ólèɲá jû,,,
kàŋú,,11178,even Kuku saw the lion OR Kuku even/also saw the lion,kúkù kàŋú t̪ólìɲà vɽàn,kúkù kàŋú t̪ólèɲá vɽàn,,,
kàŋú,,11321,Kuku saw Kaka in the field,kúkù kàŋú kákàŋú nɛ̀ lə̀və̀r,kúkù kàŋú kákàŋú nɛ̀ lə̀və́r,,,
kàŋú,,11166,only Kuku saw the lion,àn kúkù ŋɛ́nɛ̀ káŋú t̪ólìɲà,àn kúkù ŋɛ́nɛ̀ káŋú t̪ólèɲá,,,
kàŋú,,11184,it's also Kuku who saw the lion,àn kúkù vɽàn káŋú t̪ólìɲǎ,àn kúkù vɽàn káŋú t̪ólèɲá,,,
kàŋú,,11185,who else saw the lion?,àn ɔ́ɟɔ́ bɛ́tɛ̀n káŋú t̪ólìɲà,àn ɔ́ɟɔ́ bɛ́tɛ̀n káŋú t̪ólèɲá,,,
íŋgá_nɔ̀nà,,1025,I am about to see the dress now,íŋgánɔ̂nà lúwɔ́ tɜ́wɜ̀nì,íŋgá_nɔ́nà lúɔ́ t̪ɔ́wɜ̀nì,,,
íŋgá_nɔ̀nà,,1033,I am about to see the skirt now,íŋgánɔ̂nà l̀t̪ɾɔ̀ tɜ́wɜ̀nì,íŋgá_nɔ́nà lə̀t̪ɾɔ̀ t̪ɔ́wɜ̀nì,,,
íŋgá_nɔ̀nà,,1461,"I didn't see Kuku, I saw Kalu",iŋgɔ́nɔ́nà kúkúŋ dé íŋgáðúɾú kúnɔ̂ná kɜ́lúŋò,íŋgá_nɔ́nà kúkùŋú dɛ̀ íŋgáðúɾú kə́nɔ̀nà kɜ́lùŋú,,,
íŋgá_nɔ̀nà,,6431,I will see the chicken tomorrow.,íŋgánɔ́nà óɾɛ́ nd̪ɔ̀bà,íŋgá_nɔ́nà óɾɛ́ nd̪ɔ̀bà,,,
íŋgá_nɔ̀nà,,6955,I will see the coconut.,íŋgánɔ̀nà lèdéɲâ,íŋgá_nɔ́nà lèdéɲá,,,
íŋgá_nɔ̀nà,,9506,I will see the sibling tomorrow,íŋgánɔ̀nà ìlŋìnɔ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà ìlŋìnɔ̀ nd̪ɔ̀bà,,,
íŋgá_nɔ̀nà,,9510,I will see the trough tomorrow,íŋgánɔ̀nà írí nd̪ɔ̀bà,íŋgá_nɔ́nà írí nd̪ɔ̀bà,,,
íŋgá_nɔ̀nà,,9473,I will see the fences tomorrow,íŋgánɔ̀nà nɛ́ɾá nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ́ɾá nd̪ɔ̀bà,,,
íŋgá_nɔ̀nà,,9442,I will see the gourd pieces or mushrooms (sp.) tomorrow,íŋgánɔ̀nà nɛ̀lɛ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ̀lɛ̀ nd̪ɔ̀bà,,,
íŋgá_nɔ̀nà,,9437,I will see the farmers tomorrow,íŋgánɔ̀nà nɛ̀làɽà nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ̀làɽà nd̪ɔ̀bà,,,
